Model,Epoch,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R2,Test R2
BiLSTMNet,1,0.26566794514656067,2.0616369247436523,0.5154298644302255,1.4358401459576384,0.27521824836730957,1.233680009841919,0.7346843481063843,0.1590084433555603
BiLSTMNet,2,0.07546833902597427,0.719265341758728,0.27471501419830385,0.8480951254185629,0.1551736444234848,0.512876033782959,0.9246317148208618,0.7065942883491516
BiLSTMNet,3,0.0406501479446888,0.7196000218391418,0.20161881842895715,0.8482924152903537,0.10955166816711426,0.5104592442512512,0.9594037532806396,0.7064577341079712
BiLSTMNet,4,0.034235186874866486,0.5659372806549072,0.1850275300458461,0.7522880303812545,0.0991920530796051,0.4465758800506592,0.9658101797103882,0.7691404819488525
BiLSTMNet,5,0.035580381751060486,0.6336262226104736,0.18862762722109527,0.7960064212118352,0.10096076130867004,0.4888894259929657,0.9644668102264404,0.7415285110473633
BiLSTMNet,6,0.030145566910505295,0.4347996115684509,0.17362478771910794,0.6593933663364009,0.09123782068490982,0.40763992071151733,0.9698944091796875,0.8226346969604492
BiLSTMNet,7,0.030683645978569984,0.4164888858795166,0.17516747979739272,0.6453595012700414,0.09287410229444504,0.38914400339126587,0.9693570137023926,0.8301041126251221
BiLSTMNet,8,0.029400091618299484,0.4252428412437439,0.17146454915900103,0.6521064646541574,0.08940890431404114,0.4084685742855072,0.9706388711929321,0.8265331983566284
BiLSTMNet,9,0.02741236984729767,0.33137521147727966,0.16556681384654856,0.5756519881640987,0.08914398401975632,0.35808664560317993,0.9726240038871765,0.8648240566253662
BiLSTMNet,10,0.029917841777205467,0.3224543631076813,0.1729677477947998,0.5678506521152206,0.09087236225605011,0.33836808800697327,0.9701218008995056,0.8684630393981934
BiLSTMNet,11,0.028737803921103477,0.38673001527786255,0.16952228148860987,0.6218762057498763,0.0941285714507103,0.3822259306907654,0.9713003039360046,0.842243492603302
BiLSTMNet,12,0.03662090003490448,0.25519147515296936,0.19136588001758434,0.5051647999939914,0.10533683001995087,0.3198109269142151,0.9634276628494263,0.8959012031555176
BiLSTMNet,13,0.029513396322727203,0.24365152418613434,0.17179463414998503,0.49361070104499793,0.08894714713096619,0.31714561581611633,0.9705257415771484,0.9006086587905884
