Model,Epoch,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R2,Test R2
CNNBiLSTM,1,0.21231946349143982,1.5767784118652344,0.46078136191846975,1.255698376149796,0.2683006823062897,1.0243017673492432,0.7879620790481567,0.35679399967193604
CNNBiLSTM,2,0.061532970517873764,0.12250920385122299,0.24805840142570007,0.3500131481119288,0.1326967179775238,0.2451506108045578,0.9385486245155334,0.9500255584716797
CNNBiLSTM,3,0.04195713251829147,0.09448250383138657,0.2048344026727236,0.3073800641410997,0.10482332110404968,0.22488181293010712,0.9580985307693481,0.9614583253860474
CNNBiLSTM,4,0.03535134717822075,0.08669430762529373,0.18801953935221932,0.29443897096901717,0.09431702643632889,0.21786217391490936,0.9646955132484436,0.9646353125572205
CNNBiLSTM,5,0.031873952597379684,0.0587882362306118,0.17853277737541554,0.24246285536265508,0.088680200278759,0.1904532015323639,0.968168318271637,0.9760188460350037
CNNBiLSTM,6,0.03042820282280445,0.040645282715559006,0.1744368161335343,0.2016067526536723,0.09023553878068924,0.16166289150714874,0.9696121215820312,0.9834197759628296
CNNBiLSTM,7,0.02978331409394741,0.0313229002058506,0.17257842881990615,0.17698276810427224,0.09167413413524628,0.1405835598707199,0.9702561497688293,0.9872226119041443
CNNBiLSTM,8,0.02578737400472164,0.034962136298418045,0.16058447622582217,0.18698164695610647,0.08330503851175308,0.1504041850566864,0.9742467999458313,0.9857380986213684
CNNBiLSTM,9,0.02616301365196705,0.01931711845099926,0.16174984900137326,0.1389860368921974,0.08661671727895737,0.11419382691383362,0.973871648311615,0.992120087146759
CNNBiLSTM,10,0.023642495274543762,0.04256141185760498,0.15376116308920065,0.2063041731463641,0.07988111674785614,0.1580979973077774,0.9763888716697693,0.9826381802558899
CNNBiLSTM,11,0.023610398173332214,0.03539823368191719,0.15365675440192084,0.18814418322636814,0.07959190756082535,0.14945442974567413,0.9764208793640137,0.9855601787567139
CNNBiLSTM,12,0.02212360128760338,0.03401342034339905,0.14874004601183696,0.18442727657100794,0.07391021400690079,0.1507997065782547,0.9779057502746582,0.986125111579895
CNNBiLSTM,13,0.022647757083177567,0.0201079323887825,0.15049171765641312,0.14180244140628362,0.07611826062202454,0.11880545318126678,0.9773823022842407,0.9917975068092346
CNNBiLSTM,14,0.022039830684661865,0.02017703838646412,0.14845817823434942,0.14204590239237497,0.07622546702623367,0.12316526472568512,0.9779893755912781,0.9917693138122559
CNNBiLSTM,15,0.0266818106174469,0.014090798795223236,0.1633456782943672,0.11870467048614067,0.08675611019134521,0.09576379507780075,0.9733535647392273,0.9942520260810852
CNNBiLSTM,16,0.021437637507915497,0.022293413057923317,0.14641597422383767,0.14930978888848284,0.07393430918455124,0.12706859409809113,0.9785907864570618,0.9909060001373291
CNNBiLSTM,17,0.02635982632637024,0.03390735387802124,0.16235709509094526,0.1841394957037225,0.0867137536406517,0.15031927824020386,0.9736751317977905,0.986168384552002
CNNBiLSTM,18,0.020631471648812294,0.024629022926092148,0.1436365957853788,0.1569363658496403,0.07893021404743195,0.13976404070854187,0.979395866394043,0.9899532198905945
CNNBiLSTM,19,0.023440612480044365,0.05141405761241913,0.1531032739037424,0.22674668159075478,0.08165881037712097,0.18315038084983826,0.9765904545783997,0.9790269732475281
CNNBiLSTM,20,0.020436951890587807,0.01667834259569645,0.14295786753651513,0.12914465763513583,0.0726516991853714,0.11147166788578033,0.9795901775360107,0.9931964874267578
CNNBiLSTM,21,0.022677678614854813,0.01553663145750761,0.1505910973957452,0.12464602463579659,0.07963019609451294,0.10210100561380386,0.9773523807525635,0.9936622381210327
CNNBiLSTM,22,0.019890589639544487,0.016641788184642792,0.14103400171428337,0.12900305494306247,0.07251659035682678,0.1076527088880539,0.9801357984542847,0.9932113885879517
CNNBiLSTM,23,0.023102818056941032,0.025071540847420692,0.1519961119796853,0.15833995341486207,0.0819963738322258,0.1293458491563797,0.9769278168678284,0.9897727370262146
CNNBiLSTM,24,0.01833709515631199,0.03262905403971672,0.13541453081671845,0.18063514065573377,0.07142919301986694,0.14319343864917755,0.9816872477531433,0.9866898059844971
CNNBiLSTM,25,0.018761299550533295,0.015827735885977745,0.1369718932866641,0.12580832995464866,0.07113013416528702,0.10383844375610352,0.9812635779380798,0.9935435056686401
CNNBiLSTM,26,0.01784835383296013,0.02933446504175663,0.13359773139151776,0.17127307156046637,0.07208023220300674,0.14673630893230438,0.9821752905845642,0.9880337715148926
CNNBiLSTM,27,0.019443940371274948,0.0413239523768425,0.139441530295945,0.2032829367577183,0.07706800848245621,0.16829374432563782,0.9805818200111389,0.9831429719924927
CNNBiLSTM,28,0.0178350992500782,0.023160479962825775,0.13354811586120638,0.1521856759449646,0.06963209807872772,0.12534856796264648,0.9821885228157043,0.9905523061752319
CNNBiLSTM,29,0.01691262610256672,0.02664780244231224,0.13004855286609968,0.1632415463119369,0.06885528564453125,0.14385493099689484,0.9831097722053528,0.9891297221183777
CNNBiLSTM,30,0.018000029027462006,0.015285505913197994,0.13416418682890754,0.12363456601289946,0.07284815609455109,0.10660689324140549,0.9820238351821899,0.9937646985054016
CNNBiLSTM,31,0.017803018912672997,0.022554656490683556,0.13342795401516505,0.1501820777945343,0.0717780664563179,0.12887975573539734,0.9822205901145935,0.9907994270324707
CNNBiLSTM,32,0.016743401065468788,0.0229839775711298,0.1293962946357769,0.1516046752944308,0.06739891320466995,0.12653334438800812,0.9832788109779358,0.9906243085861206
CNNBiLSTM,33,0.01901618018746376,0.01603330671787262,0.1378991667395556,0.12662269432401374,0.0735868439078331,0.0991855338215828,0.9810090065002441,0.9934596419334412
