Model,Epoch,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R2,Test R2
CNNLSTM,1,0.4292915165424347,3.037335157394409,0.6552034161559559,1.7427952138430978,0.38640549778938293,1.6501195430755615,0.5712776780128479,-0.23900246620178223
CNNLSTM,2,0.4212988018989563,2.6607089042663574,0.6490753437767885,1.6311679570989486,0.3593990206718445,1.4007751941680908,0.5792598128318787,-0.08536744117736816
CNNLSTM,3,0.16491682827472687,0.4489344656467438,0.4060995300104728,0.6700257201382226,0.27655231952667236,0.5630658268928528,0.8353018164634705,0.816868782043457
CNNLSTM,4,0.11188985407352448,0.19181615114212036,0.3344994081811274,0.43796820791253827,0.19914057850837708,0.32835033535957336,0.8882585167884827,0.9217535257339478
CNNLSTM,5,0.10290756076574326,0.1117297112941742,0.32079208339007254,0.33425994569223244,0.175544872879982,0.22890594601631165,0.8972288966178894,0.9544227719306946
CNNLSTM,6,0.09166853129863739,0.09722958505153656,0.30276811473244236,0.3118165888010716,0.19065351784229279,0.2339048832654953,0.9084529876708984,0.9603376984596252
CNNLSTM,7,0.07762813568115234,0.1246698722243309,0.27861826157154945,0.3530862107535933,0.17278188467025757,0.2526284158229828,0.9224748015403748,0.9491441249847412
CNNLSTM,8,0.051077425479888916,0.05218108370900154,0.22600315369456445,0.2284317922466169,0.12734152376651764,0.14138919115066528,0.9489902853965759,0.9787140488624573
CNNLSTM,9,0.05074939876794815,0.05448952689766884,0.22527627209261997,0.23342991860014184,0.13801968097686768,0.13918758928775787,0.9493178725242615,0.9777724146842957
CNNLSTM,10,0.04581025615334511,0.041083574295043945,0.21403330617767205,0.20269083426500553,0.11678797751665115,0.15579327940940857,0.9542504549026489,0.9832410216331482
CNNLSTM,11,0.04222412407398224,0.05198543891310692,0.2054850945299494,0.22800315548936362,0.11745484173297882,0.16234531998634338,0.957831859588623,0.9787938594818115
CNNLSTM,12,0.040985994040966034,0.04566328227519989,0.20244997910833687,0.2136896868714068,0.11501151323318481,0.14248783886432648,0.9590683579444885,0.9813728332519531
CNNLSTM,13,0.03698818013072014,0.045629315078258514,0.19232311387537415,0.21361019422831512,0.11156287789344788,0.15937680006027222,0.9630608558654785,0.9813867211341858
