Model,Epoch,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R2,Test R2
GRUCNN,1,0.25521230697631836,1.8575831651687622,0.5051854184122087,1.3629318270437307,0.26311904191970825,1.2132235765457153,0.7451254725456238,0.24201196432113647
GRUCNN,2,0.08711300045251846,0.2639319598674774,0.29514911562211815,0.5137430874157601,0.1497458666563034,0.38741201162338257,0.9130023121833801,0.892302393913269
GRUCNN,3,0.06563928723335266,0.3451794683933258,0.2562016534555401,0.587519760002441,0.12984544038772583,0.4024770259857178,0.9344475865364075,0.8591492772102356
GRUCNN,4,0.047973666340112686,0.4000013768672943,0.2190289166756588,0.6324566205419107,0.11192145943641663,0.4049581289291382,0.9520898461341858,0.8367791771888733
GRUCNN,5,0.04361564666032791,0.3607795238494873,0.20884359377373277,0.6006492519345107,0.10228116810321808,0.38629522919654846,0.9564420580863953,0.8527836799621582
GRUCNN,6,0.03973377123475075,0.3456350862979889,0.1993333169210575,0.5879073790130457,0.09697342664003372,0.3947262167930603,0.9603188037872314,0.8589633703231812
GRUCNN,7,0.042164843529462814,0.49889373779296875,0.20534079850205808,0.7063241025145388,0.106482595205307,0.4749992787837982,0.9578909873962402,0.7964260578155518
GRUCNN,8,0.03727668896317482,0.3278353214263916,0.19307171973951756,0.5725690538497444,0.09966234117746353,0.3551761507987976,0.9627726674079895,0.8662265539169312
GRUCNN,9,0.03796757757663727,0.39296260476112366,0.19485270738852276,0.6268672943782628,0.09947171062231064,0.40110477805137634,0.9620826840400696,0.839651346206665
GRUCNN,10,0.036353230476379395,0.26893630623817444,0.19066523143032502,0.5185906923944686,0.10045447945594788,0.3340032994747162,0.9636948704719543,0.8902603387832642
GRUCNN,11,0.03170653432607651,0.32711920142173767,0.1780632874179192,0.5719433550813732,0.08799120038747787,0.3689782917499542,0.9683354496955872,0.8665187954902649
GRUCNN,12,0.03164103627204895,0.342630535364151,0.1778792744308593,0.5853465087998313,0.09638027101755142,0.3694864511489868,0.9684008359909058,0.8601893782615662
GRUCNN,13,0.03517907112836838,0.3087468445301056,0.18756084646953472,0.555649929839018,0.09622417390346527,0.3838801980018616,0.9648674726486206,0.8740156292915344
GRUCNN,14,0.030312977731227875,0.23833978176116943,0.17410622542352663,0.4882005548554502,0.08629713207483292,0.3177661895751953,0.9697271585464478,0.9027453064918518
GRUCNN,15,0.029691847041249275,0.2398730218410492,0.17231322364011786,0.48976833486971083,0.08415596932172775,0.33431267738342285,0.9703474640846252,0.9021196365356445
GRUCNN,16,0.02866576984524727,0.29268765449523926,0.16930968621212217,0.5410061501454851,0.09017857909202576,0.352801114320755,0.9713721871376038,0.8805686235427856
GRUCNN,17,0.02944927103817463,0.2857784330844879,0.1716078991135741,0.5345824848276344,0.09615520387887955,0.3574221432209015,0.9705896973609924,0.8833879232406616
GRUCNN,18,0.033241547644138336,0.2889663279056549,0.18232264709612556,0.5375558835187788,0.0977797657251358,0.3650926351547241,0.9668024778366089,0.8820871114730835
GRUCNN,19,0.03154222294688225,0.26365506649017334,0.17760130333666543,0.51347353046693,0.09113368391990662,0.33150026202201843,0.9684995412826538,0.8924154043197632
GRUCNN,20,0.026118112727999687,0.19416405260562897,0.16161099197764886,0.44064050268402355,0.08190851658582687,0.287331223487854,0.9739164710044861,0.9207712411880493
GRUCNN,21,0.026854736730456352,0.2834853231906891,0.16387414906096798,0.5324333978918763,0.09030163288116455,0.3312162458896637,0.9731808304786682,0.8843235969543457
GRUCNN,22,0.02793126180768013,0.2123849093914032,0.16712648445916684,0.4608523726654808,0.08560256659984589,0.2904391586780548,0.9721056818962097,0.9133362174034119
GRUCNN,23,0.02680736966431141,0.21419589221477509,0.16372956258510987,0.4628130207921716,0.08798380196094513,0.30549493432044983,0.9732280969619751,0.9125972390174866
