Model,Epoch,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R2,Test R2
TCNLSTM,1,0.06934786587953568,0.01150809321552515,0.2633398296489456,0.10727578112288509,0.14642322063446045,0.08279408514499664,0.930743932723999,0.9953041076660156
TCNLSTM,2,0.0314205177128315,0.015463891439139843,0.17725833608840938,0.12435389595481053,0.09979011118412018,0.09465386718511581,0.9686210751533508,0.9936899542808533
TCNLSTM,3,0.03159897029399872,0.020567508414387703,0.17776099204830828,0.1434137664744487,0.12147772312164307,0.11137689650058746,0.9684428572654724,0.9916074275970459
TCNLSTM,4,0.023518212139606476,0.011461551301181316,0.15335648711289157,0.1070586348744524,0.08588703721761703,0.08123192936182022,0.9765129089355469,0.995323121547699
TCNLSTM,5,0.02053062804043293,0.009152648039162159,0.14328512846919225,0.09566947286967854,0.0819435641169548,0.07821868360042572,0.9794965386390686,0.9962652325630188
TCNLSTM,6,0.020825941115617752,0.025998510420322418,0.14431195763213023,0.1612405359093129,0.08020633459091187,0.12519700825214386,0.97920161485672,0.9893912672996521
TCNLSTM,7,0.018738899379968643,0.015136095695197582,0.13689009964189755,0.12302884090812846,0.08069376647472382,0.09152384847402573,0.9812859296798706,0.9938237071037292
TCNLSTM,8,0.02291477657854557,0.026740673929452896,0.15137627482054633,0.16352575922298265,0.08485352993011475,0.1215953379869461,0.9771155714988708,0.9890884757041931
TCNLSTM,9,0.01775941625237465,0.020381027832627296,0.1332644598247209,0.14276213725153913,0.07378506660461426,0.10590540617704391,0.9822641015052795,0.9916834831237793
TCNLSTM,10,0.015161578543484211,0.018624769523739815,0.12313236188542885,0.13647259623726593,0.06625886261463165,0.11418472230434418,0.984858512878418,0.9924001693725586
TCNLSTM,11,0.01625007390975952,0.012740392237901688,0.12747577773741772,0.11287334600295008,0.07667721807956696,0.09505031257867813,0.9837714433670044,0.9948012828826904
TCNLSTM,12,0.015207767486572266,0.016304602846503258,0.12331977735372483,0.12768947821376378,0.07031787931919098,0.10583079606294632,0.9848123788833618,0.9933468699455261
TCNLSTM,13,0.01768196001648903,0.03547497093677521,0.13297353126276307,0.18834800486539593,0.07734627276659012,0.1422283947467804,0.982341468334198,0.9855244159698486
TCNLSTM,14,0.01606864668428898,0.022604450583457947,0.1267621658235965,0.15034776547544013,0.06955532729625702,0.12343422323465347,0.9839526414871216,0.9907762408256531
TCNLSTM,15,0.015087499283254147,0.02165505848824978,0.12283118204777704,0.14715657813448157,0.06802429258823395,0.11507070809602737,0.9849324822425842,0.9911636114120483
TCNLSTM,16,0.013548484072089195,0.02307906001806259,0.1163979556181688,0.1519179384340855,0.06531055271625519,0.12282024323940277,0.9864694476127625,0.9905825853347778
TCNLSTM,17,0.013377204537391663,0.021110303699970245,0.11565986571577741,0.1452938529324976,0.06302222609519958,0.11853267252445221,0.9866405129432678,0.9913859367370605
TCNLSTM,18,0.012545354664325714,0.02592391148209572,0.1120060474453309,0.16100904161597795,0.06349720805883408,0.1301596462726593,0.9874712228775024,0.9894217252731323
TCNLSTM,19,0.013347502797842026,0.03489791601896286,0.11553139312689874,0.1868098391920588,0.06251896172761917,0.15031930804252625,0.9866701364517212,0.9857598543167114
TCNLSTM,20,0.013320140540599823,0.035063259303569794,0.1154129132315783,0.18725186061444035,0.06006568297743797,0.1517130583524704,0.9866974949836731,0.9856924414634705
TCNLSTM,21,0.014149385504424572,0.042612507939338684,0.11895118958810194,0.20642797276371894,0.06455209851264954,0.16752669215202332,0.9858693480491638,0.9826119542121887
TCNLSTM,22,0.012021246366202831,0.03319093585014343,0.10964144456455703,0.18218379689243341,0.06041354686021805,0.15009136497974396,0.9879946708679199,0.9864563941955566
