Model,Epoch,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R2,Test R2
RNNNet,1,0.038162875920534134,0.04763156175613403,0.19535320811426193,0.2182465618426417,0.11783327162265778,0.15547659993171692,0.9618886709213257,0.9805130958557129
RNNNet,2,0.027326077222824097,0.07560289651155472,0.16530601084904353,0.27495980890223704,0.09165296703577042,0.19723747670650482,0.9727108478546143,0.9690695405006409
RNNNet,3,0.02472279965877533,0.06301000714302063,0.1572348551014543,0.25101794187472065,0.0875445082783699,0.19847401976585388,0.9753105640411377,0.9742215275764465
RNNNet,4,0.020141996443271637,0.05234566703438759,0.1419225015396489,0.22879175473427268,0.07754895091056824,0.16661721467971802,0.9798852205276489,0.9785844683647156
RNNNet,5,0.018662894144654274,0.07506239414215088,0.13661220349827563,0.27397517066725385,0.07177794724702835,0.2110857516527176,0.9813622832298279,0.9692906737327576
RNNNet,6,0.017692234367132187,0.04599528759717941,0.13301215871916441,0.2144651197681791,0.0719558447599411,0.15352830290794373,0.9823316335678101,0.9811825156211853
RNNNet,7,0.017717180773615837,0.07506126165390015,0.13310590059653943,0.2739731038877724,0.0717708021402359,0.20819132030010223,0.982306718826294,0.9692911505699158
RNNNet,8,0.019016681239008904,0.07299546897411346,0.13790098345917953,0.27017673655241575,0.0886884331703186,0.19013288617134094,0.9810090065002441,0.970136284828186
RNNNet,9,0.019660180434584618,0.09724603593349457,0.1402147653943215,0.31184296678535905,0.08222603797912598,0.22644951939582825,0.9803663492202759,0.9602149724960327
RNNNet,10,0.01834219880402088,0.14100319147109985,0.13543337404059932,0.3755039167187206,0.0794500783085823,0.27162933349609375,0.981682538986206,0.9423131942749023
RNNNet,11,0.016612041741609573,0.09386913478374481,0.12888770981598507,0.3063807023683848,0.06914032250642776,0.23561784625053406,0.9834103584289551,0.9615964889526367
RNNNet,12,0.022370241582393646,0.10696106404066086,0.1495668465348977,0.32704902391027074,0.09410307556390762,0.2676561176776886,0.9776599407196045,0.9562404155731201
RNNNet,13,0.016336027532815933,0.06666025519371033,0.12781247017727157,0.258186473684642,0.07624939829111099,0.1815836876630783,0.9836860299110413,0.9727281332015991
RNNNet,14,0.015204383991658688,0.1038157269358635,0.12330605821150349,0.32220448000588614,0.07095445692539215,0.2471906989812851,0.9848161339759827,0.957527220249176
RNNNet,15,0.017809109762310982,0.04128749296069145,0.1334507765519219,0.20319324044045228,0.07516069710254669,0.14729160070419312,0.9822149276733398,0.9831085801124573
RNNNet,16,0.016221506521105766,0.07592959702014923,0.1273636781861523,0.2755532562321651,0.07396110147237778,0.221781387925148,0.9838004112243652,0.9689359068870544
RNNNet,17,0.014762853272259235,0.09140204638242722,0.12150248257652695,0.3023277135534009,0.06916933506727219,0.21467986702919006,0.985257089138031,0.9626058340072632
RNNNet,18,0.019424373283982277,0.06814602762460709,0.13937135029833886,0.26104794123801683,0.10190966725349426,0.1997423768043518,0.9806018471717834,0.9721202850341797
RNNNet,19,0.01374053955078125,0.1034013107419014,0.11722004756346607,0.32156074191651784,0.06300543248653412,0.24159814417362213,0.9862779974937439,0.9576967358589172
RNNNet,20,0.015779780223965645,0.08399885147809982,0.12561759520053567,0.28982555352849726,0.0710056945681572,0.19945332407951355,0.9842415452003479,0.9656346440315247
RNNNet,21,0.014003276824951172,0.07555194199085236,0.11833544196457446,0.2748671351596119,0.06491224467754364,0.19648990035057068,0.9860156178474426,0.9690904021263123
RNNNet,22,0.014074919745326042,0.0980694442987442,0.11863776694344025,0.31316041304536596,0.07072340697050095,0.23434123396873474,0.9859440922737122,0.9598780870437622
RNNNet,23,0.014367219991981983,0.08620648086071014,0.11986333881542756,0.29360940186020973,0.0642123594880104,0.2129252851009369,0.9856522083282471,0.9647314548492432
RNNNet,24,0.013038103468716145,0.09559037536382675,0.11418451501283414,0.3091769321340561,0.06176554039120674,0.22194655239582062,0.9869794845581055,0.9608923196792603
RNNNet,25,0.012752179056406021,0.09701873362064362,0.11292554651807545,0.31147830361141304,0.05864932760596275,0.22208164632320404,0.9872650504112244,0.9603079557418823
RNNNet,26,0.014233153313398361,0.10072597116231918,0.11930277999023477,0.3173735514536761,0.06828641891479492,0.24756576120853424,0.9857860803604126,0.9587912559509277
RNNNet,27,0.017105430364608765,0.13053229451179504,0.13078773017607104,0.3612925331525619,0.0792287290096283,0.2891201376914978,0.9829176664352417,0.9465969800949097
RNNNet,28,0.013054737821221352,0.09974972903728485,0.11425733158629844,0.31583180498057006,0.05987038090825081,0.2170068770647049,0.9869629144668579,0.9591906666755676
RNNNet,29,0.016742931678891182,0.09504559636116028,0.12939448086719613,0.30829465834029673,0.07919447124004364,0.2614881992340088,0.9832797050476074,0.9611151814460754
RNNNet,30,0.013128706254065037,0.10166247934103012,0.11458056665100341,0.3188455415103528,0.06458565592765808,0.23310363292694092,0.9868890047073364,0.9584081172943115
RNNNet,31,0.013811134733259678,0.10541750490665436,0.11752078426074121,0.32468061985073016,0.07140472531318665,0.22095736861228943,0.9862074851989746,0.9568718671798706
RNNNet,32,0.014345591887831688,0.060852859169244766,0.11977308498920652,0.2466837229515656,0.07104913145303726,0.1760507971048355,0.9856737852096558,0.975104033946991
RNNNet,33,0.013031376525759697,0.0997815653681755,0.11415505475343479,0.31588220172744064,0.06708677858114243,0.23748092353343964,0.9869862198829651,0.9591776132583618
RNNNet,34,0.012662183493375778,0.12364467233419418,0.11252636799157688,0.35163144389288364,0.0631507858633995,0.24540212750434875,0.9873549342155457,0.949414849281311
RNNNet,35,0.014001855626702309,0.13624690473079681,0.11832943685618684,0.36911638372036104,0.07364442199468613,0.2815786898136139,0.9860170483589172,0.9442590475082397
RNNNet,36,0.013370636850595474,0.13690730929374695,0.11563146998371798,0.3700098772921433,0.06299817562103271,0.2583967447280884,0.9866474270820618,0.9439888596534729
RNNNet,37,0.013348785229027271,0.11596721410751343,0.1155369431352036,0.340539592569665,0.07152349501848221,0.2359541654586792,0.9866692423820496,0.9525558352470398
RNNNet,38,0.014132269658148289,0.13051658868789673,0.11887922298765369,0.36127079689326774,0.06337356567382812,0.28010764718055725,0.985886812210083,0.9466034173965454
RNNNet,39,0.01742642931640148,0.13564567267894745,0.13200920163534616,0.3683010625547358,0.09064406156539917,0.31052982807159424,0.9825971126556396,0.9445050358772278
RNNNet,40,0.013953831046819687,0.1457591950893402,0.11812633511126842,0.38178422582571453,0.07210896909236908,0.28529947996139526,0.9860650300979614,0.9403674006462097
RNNNet,41,0.01221175491809845,0.11039478331804276,0.11050680937434783,0.33225710424013927,0.06766802817583084,0.23359932005405426,0.9878047108650208,0.9548355937004089
RNNNet,42,0.012867426499724388,0.15322460234165192,0.11343467944030339,0.39143914257730017,0.06614181399345398,0.30353841185569763,0.9871499538421631,0.9373131990432739
RNNNet,43,0.01118241436779499,0.10055425763130188,0.10574693550072735,0.31710291331254253,0.05866626650094986,0.22164133191108704,0.9888327121734619,0.9588615298271179
RNNNet,44,0.015772685408592224,0.15480966866016388,0.12558935228988255,0.3934585984066988,0.07356768101453781,0.2768756151199341,0.9842486381530762,0.9366647005081177
RNNNet,45,0.013795526698231697,0.11161428689956665,0.11745436006480005,0.3340872444430746,0.07307357341051102,0.2265995889902115,0.9862231016159058,0.9543366432189941
RNNNet,46,0.013802601955831051,0.08843844383955002,0.11748447538220125,0.2973860182314394,0.08222143352031708,0.2196047157049179,0.9862160086631775,0.9638183116912842
RNNNet,47,0.012810129672288895,0.08061440289020538,0.11318184338615843,0.283926756206958,0.07453673332929611,0.20246706902980804,0.9872071743011475,0.967019259929657
RNNNet,48,0.012736615724861622,0.07112480700016022,0.11285661577799337,0.26669234522228086,0.063090980052948,0.21248729526996613,0.9872806072235107,0.970901608467102
RNNNet,49,0.011691417545080185,0.09863985329866409,0.10812685857399254,0.314069822330424,0.0583798885345459,0.22737377882003784,0.9883243441581726,0.9596447348594666
RNNNet,50,0.011676355265080929,0.09463413804769516,0.10805718516175095,0.3076266211622381,0.06567210704088211,0.22429850697517395,0.9883394241333008,0.9612835645675659
RNNNet,51,0.019769586622714996,0.15062315762043,0.14060436203302867,0.3881019938372257,0.08531490713357925,0.26319780945777893,0.9802570939064026,0.9383774995803833
RNNNet,52,0.012064051814377308,0.08197109401226044,0.10983647761275535,0.2863059447728259,0.06837218254804611,0.21664652228355408,0.9879522323608398,0.9664642214775085
RNNNet,53,0.011043106205761433,0.1400323361158371,0.10508618465698254,0.3742089471349357,0.05710736662149429,0.2730679512023926,0.9889718294143677,0.9427103400230408
RNNNet,54,0.010882023721933365,0.12699173390865326,0.10431693880637681,0.35635899582956126,0.058111414313316345,0.25692299008369446,0.9891326427459717,0.9480454921722412
RNNNet,55,0.010169988498091698,0.12419379502534866,0.10084636085695754,0.35241140024884077,0.05431366339325905,0.24937254190444946,0.9898437261581421,0.9491901993751526
RNNNet,56,0.01271356176584959,0.07343512028455734,0.11275443124706713,0.2709891515993903,0.07666023820638657,0.2012563794851303,0.987303614616394,0.9699563980102539
RNNNet,57,0.011276517994701862,0.09503045678138733,0.10619095062528569,0.3082701036127041,0.062447547912597656,0.23528192937374115,0.9887387156486511,0.9611213803291321
RNNNet,58,0.013362799771130085,0.06933912634849548,0.11559757683935284,0.2633232354891901,0.06664153188467026,0.20522375404834747,0.9866552352905273,0.971632182598114
RNNNet,59,0.010396355763077736,0.12206924706697464,0.10196252136485119,0.34938409675738624,0.06031104549765587,0.25582394003868103,0.9896177053451538,0.9500593543052673
RNNNet,60,0.010787098668515682,0.12279336899518967,0.10386095834583697,0.35041884794512645,0.0644645243883133,0.24238716065883636,0.9892274737358093,0.9497631192207336
RNNNet,61,0.0095292953774333,0.09155528992414474,0.09761810988455626,0.3025810468686774,0.055637240409851074,0.2195609211921692,0.9904835820198059,0.9625431299209595
RNNNet,62,0.009410346858203411,0.09620597958564758,0.09700694231962685,0.3101708877145751,0.05635032802820206,0.22734393179416656,0.9906023740768433,0.9606404900550842
RNNNet,63,0.009897153824567795,0.132804274559021,0.0994844401128528,0.3644232080411743,0.05572177469730377,0.2687012851238251,0.9901162385940552,0.9456675052642822
RNNNet,64,0.01170930452644825,0.11399830877780914,0.10820953990498365,0.33763635582947693,0.06784024834632874,0.2542235553264618,0.9883065223693848,0.9533613324165344
RNNNet,65,0.00903523713350296,0.12592236697673798,0.09505386437963982,0.35485541700351425,0.0565975159406662,0.2711825966835022,0.9909769892692566,0.9484829902648926
RNNNet,66,0.009455757215619087,0.13004909455776215,0.09724071788926225,0.3606232030218829,0.056718770414590836,0.2704813480377197,0.9905570149421692,0.9467946887016296
RNNNet,67,0.009128028526902199,0.1283726543188095,0.09554071659194419,0.3582912981343665,0.0568322017788887,0.2755107283592224,0.9908843040466309,0.9474805593490601
RNNNet,68,0.009892896749079227,0.1349494904279709,0.09946304212660714,0.3673547201656335,0.0629521980881691,0.25530895590782166,0.9901204705238342,0.9447898268699646
RNNNet,69,0.008925066329538822,0.10267636924982071,0.09447256919094993,0.32043153597893687,0.05755961686372757,0.24093222618103027,0.9910869598388672,0.9579933285713196
RNNNet,70,0.008232454769313335,0.09472355246543884,0.09073287590125938,0.307771916304004,0.05114364996552467,0.22843694686889648,0.9917786717414856,0.9612469673156738
RNNNet,71,0.009549077600240707,0.09377502650022507,0.09771938190676764,0.30622708322456565,0.0636083260178566,0.2249853014945984,0.9904637932777405,0.9616349935531616
RNNNet,72,0.010194732807576656,0.12184227257966995,0.10096896952815086,0.3490591247620809,0.06625348329544067,0.26979967951774597,0.9898190498352051,0.9501522183418274
RNNNet,73,0.009549888782203197,0.1386670023202896,0.09772353238705198,0.3723801851875172,0.05620036646723747,0.2888857126235962,0.9904630184173584,0.9432689547538757
RNNNet,74,0.008524846285581589,0.15486641228199005,0.09233009414909955,0.39353070055840633,0.05360883101820946,0.30902576446533203,0.991486668586731,0.9366414546966553
RNNNet,75,0.007798937615007162,0.11997219175100327,0.08831159388781952,0.3463700214380616,0.04958556219935417,0.2566181421279907,0.9922115802764893,0.9509173035621643
RNNNet,76,0.007780326530337334,0.12039171159267426,0.08820615925397349,0.3469750878559933,0.05363224446773529,0.2595120668411255,0.9922301769256592,0.950745701789856
RNNNet,77,0.010176734067499638,0.19074463844299316,0.10087980009644962,0.4367432179702315,0.060963161289691925,0.339338481426239,0.9898369908332825,0.921963095664978
RNNNet,78,0.009983569383621216,0.2064623385667801,0.09991781314471017,0.45438127004397977,0.06373874098062515,0.3378608822822571,0.9900299310684204,0.9155327081680298
RNNNet,79,0.008165755309164524,0.1908837854862213,0.09036456888163924,0.4369024896772978,0.05517219007015228,0.3374888002872467,0.9918452501296997,0.9219061732292175
RNNNet,80,0.008026722818613052,0.1449633538722992,0.08959197965562013,0.38074053352946174,0.05195138230919838,0.27828115224838257,0.9919841289520264,0.9406930208206177
RNNNet,81,0.006993459537625313,0.13642680644989014,0.08362690678020629,0.3693599957357187,0.04930120334029198,0.27593520283699036,0.9930160045623779,0.9441854357719421
RNNNet,82,0.006883144844323397,0.15469570457935333,0.08296472047999316,0.3933137482714701,0.04756410792469978,0.29183900356292725,0.9931261539459229,0.936711311340332
RNNNet,83,0.007764232344925404,0.1620882749557495,0.08811488151796723,0.40260188146076703,0.05715497210621834,0.32616299390792847,0.9922462701797485,0.9336869120597839
RNNNet,84,0.007638171780854464,0.14463244378566742,0.08739663483712896,0.38030572410321073,0.053130634129047394,0.2791156768798828,0.9923721551895142,0.9408283829689026
RNNNet,85,0.006762186996638775,0.13945238292217255,0.08223251787850579,0.3734332375702149,0.049598656594753265,0.28205937147140503,0.9932469725608826,0.9429476261138916
RNNNet,86,0.007335309870541096,0.12851154804229736,0.08564642357122156,0.35848507366736676,0.053604286164045334,0.2804543673992157,0.9926745891571045,0.9474236965179443
RNNNet,87,0.006902248132973909,0.14046038687229156,0.08307976969740534,0.3747804515610327,0.05162994563579559,0.27746567130088806,0.9931070804595947,0.9425352215766907
RNNNet,88,0.007000425830483437,0.11562089622020721,0.0836685474385891,0.3400307283470234,0.051855236291885376,0.2700091004371643,0.9930090308189392,0.9526975154876709
RNNNet,89,0.008398281410336494,0.12012643367052078,0.0916421377442522,0.3465926047545169,0.06664464622735977,0.2713110148906708,0.9916130304336548,0.9508541822433472
RNNNet,90,0.009280240163207054,0.1726440042257309,0.09633400315157184,0.4155045176959342,0.06431828439235687,0.3310191035270691,0.9907323122024536,0.9293683767318726
