Model,Epoch,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R2,Test R2
Net2,10,9.846015746006742e-05,0.00021375613869167864,0.009922709179456356,0.014620401454531905,0.007509056944400072,0.010071368888020515,0.9999006986618042,0.9997926354408264
Net2,20,7.08655861672014e-05,0.0001845100341597572,0.008418170001087018,0.013583447064709209,0.006210637278854847,0.009135494008660316,0.9999285340309143,0.9998210072517395
Net2,30,5.226520079304464e-05,0.00016580479859840125,0.007229467531778854,0.012876521214924521,0.00536245945841074,0.00852988287806511,0.9999473094940186,0.999839186668396
Net2,40,5.10933059558738e-05,0.00016563745157327503,0.007147958166908492,0.012870021428625323,0.005491188727319241,0.008651128038764,0.9999484419822693,0.9998393058776855
Net2,50,5.6679287808947265e-05,0.0001762852189131081,0.007528564790778337,0.013277244402100465,0.005574222654104233,0.008702363818883896,0.9999428391456604,0.9998289942741394
Net2,60,0.00012654674355871975,0.0002369907742831856,0.011249299691923927,0.015394504678072159,0.008698992431163788,0.01094402838498354,0.9998723864555359,0.9997701048851013
Net2,70,7.245571032399312e-05,0.0001752831449266523,0.008512092006316257,0.013239454102290332,0.007146424613893032,0.010063975118100643,0.9999269247055054,0.9998299479484558
Net2,80,2.8692475098068826e-05,0.00012680704821832478,0.005356535736655625,0.011260863564501827,0.004165141377598047,0.0074147130362689495,0.9999710917472839,0.9998769760131836
Net2,90,3.920476956409402e-05,0.00013645939179696143,0.0062613712207546055,0.011681583445619067,0.004879632964730263,0.007839826866984367,0.9999604821205139,0.9998676180839539
Net2,100,9.248773130821064e-05,0.0001964271505130455,0.009617054190770198,0.014015247072850534,0.007668348029255867,0.01008641254156828,0.9999067187309265,0.9998094439506531
