Model,Epoch,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R2,Test R2
Seq2SeqLSTM,1,0.2653037905693054,2.0819528102874756,0.5150764900180413,1.442897366512073,0.27334749698638916,1.198042869567871,0.7350473403930664,0.15045779943466187
Seq2SeqLSTM,2,0.08536538481712341,0.665224552154541,0.292173552562725,0.8156129916538487,0.15933959186077118,0.493806391954422,0.9147475957870483,0.7285547256469727
Seq2SeqLSTM,3,0.05409693717956543,1.001053810119629,0.23258748285229244,1.0005267663184374,0.12340906262397766,0.5899966955184937,0.9459746479988098,0.5915193557739258
Seq2SeqLSTM,4,0.059193287044763565,0.6750998497009277,0.2432967057828025,0.821644600603526,0.13301698863506317,0.5350980162620544,0.940885066986084,0.7245250940322876
Seq2SeqLSTM,5,0.04189783334732056,0.5577959418296814,0.2046896024406725,0.7468573771676098,0.10393143445253372,0.46973055601119995,0.9581575989723206,0.7723910212516785
Seq2SeqLSTM,6,0.03797035291790962,0.5661566853523254,0.19485982889736309,0.7524338411796252,0.09817150235176086,0.4875296652317047,0.9620798826217651,0.7689794301986694
Seq2SeqLSTM,7,0.03563159331679344,0.527639627456665,0.188763326196572,0.7263880694619543,0.09662877768278122,0.4644065201282501,0.9644155502319336,0.7846963405609131
Seq2SeqLSTM,8,0.033797603100538254,0.5183972716331482,0.18384124428576482,0.7199981052983043,0.09477263689041138,0.452073335647583,0.9662471413612366,0.7884676456451416
Seq2SeqLSTM,9,0.038595255464315414,0.4612407088279724,0.1964567521474266,0.6791470450704857,0.10520929098129272,0.4645901620388031,0.9614558219909668,0.811790406703949
Seq2SeqLSTM,10,0.03646725043654442,0.40522947907447815,0.19096400298628122,0.6365763733241112,0.09917476028203964,0.42166265845298767,0.9635810256004333,0.8346458673477173
