Model,Epoch,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R2,Test R2
TCN,1,0.042061254382133484,0.1666644811630249,0.20508840625967495,0.40824561377071145,0.12602035701274872,0.3318847119808197,0.9579944014549255,0.9319924712181091
TCN,2,0.024760913103818893,0.11900865286588669,0.15735600752376408,0.3449763076877696,0.0911719799041748,0.26431983709335327,0.9752718806266785,0.9514384269714355
TCN,3,0.02768365480005741,0.07745955884456635,0.16638405813075186,0.2783155742041152,0.0968257337808609,0.22335398197174072,0.9723529815673828,0.968392550945282
TCN,4,0.023998204618692398,0.13750500977039337,0.15491353917166956,0.37081667946627395,0.08854054659605026,0.2795487344264984,0.9760335683822632,0.9438909888267517
TCN,5,0.023711934685707092,0.14256872236728668,0.15398680036193715,0.3775827357908286,0.09316270798444748,0.30236902832984924,0.976319432258606,0.941824734210968
TCN,6,0.020539140328764915,0.08549259603023529,0.14331482940981688,0.2923911695490055,0.08318742364645004,0.24357163906097412,0.9794880151748657,0.9651147127151489
TCN,7,0.02089090831577778,0.08843957632780075,0.14453687528024736,0.2973879222964523,0.08356029540300369,0.21983323991298676,0.9791367650032043,0.9639121890068054
TCN,8,0.01859748736023903,0.07120927423238754,0.13637260487443595,0.26685065904431926,0.07765212655067444,0.1975657194852829,0.9814271330833435,0.970943033695221
TCN,9,0.019525675103068352,0.08045218139886856,0.13973430181264854,0.2836409374523864,0.0784730464220047,0.22245225310325623,0.9805001616477966,0.9671714305877686
TCN,10,0.017076175659894943,0.08886250108480453,0.13067584191385545,0.29809814002238344,0.07181477546691895,0.21960704028606415,0.9829463958740234,0.9637395739555359
