Model,Epoch,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R2,Test R2
BiLSTMNet,1,0.2833225131034851,2.179955244064331,0.5322804834891893,1.476467149673277,0.28809604048728943,1.2810767889022827,0.7170600891113281,0.10814273357391357
BiLSTMNet,2,0.09124820679426193,0.6557120680809021,0.3020731811900254,0.8097605004449785,0.1575317680835724,0.49678322672843933,0.9088749885559082,0.7317368984222412
BiLSTMNet,3,0.048138298094272614,0.7729570269584656,0.21940441676108668,0.8791797466721271,0.11447430402040482,0.5124724507331848,0.9519267082214355,0.683769941329956
BiLSTMNet,4,0.03418511897325516,0.48011332750320435,0.18489218202307842,0.6929021052812615,0.10177765041589737,0.4251136779785156,0.9658610224723816,0.8035773634910583
BiLSTMNet,5,0.031091229990124702,0.4807950258255005,0.1763270540504908,0.6933938461116457,0.0963897779583931,0.4263071119785309,0.9689507484436035,0.8032984733581543
BiLSTMNet,6,0.03954741731286049,0.32792773842811584,0.1988653245612731,0.5726497519672176,0.11635465919971466,0.3683415651321411,0.9605059623718262,0.8658391237258911
BiLSTMNet,7,0.02910919487476349,0.39381757378578186,0.17061416961894896,0.6275488616719672,0.09642859548330307,0.3994780480861664,0.9709300994873047,0.8388824462890625
BiLSTMNet,8,0.028498228639364243,0.3739910125732422,0.1688141837623967,0.6115480460055793,0.0981869176030159,0.3982667326927185,0.9715402722358704,0.8469938039779663
BiLSTMNet,9,0.02746225707232952,0.34051671624183655,0.16571740123574688,0.5835381017909941,0.09501773864030838,0.3591332733631134,0.9725748300552368,0.8606887459754944
BiLSTMNet,10,0.02732093259692192,0.37909141182899475,0.16529044920055702,0.6157039969246544,0.09157809615135193,0.39012929797172546,0.9727159738540649,0.8449071645736694
