Model,Epoch,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R2,Test R2
CNN1D,10,0.02862309291958809,0.0984807014465332,0.16918360712429584,0.3138163498712793,0.08545143157243729,0.24969127774238586,0.9714155793190002,0.9597098231315613
CNN1D,20,0.023352257907390594,0.09166961908340454,0.15281445581943678,0.3027699111262619,0.08643892407417297,0.22210469841957092,0.976679265499115,0.9624963998794556
CNN1D,30,0.020063301548361778,0.07125888764858246,0.14164498419768268,0.2669436038727702,0.07526072859764099,0.19247832894325256,0.9799637794494629,0.9708467721939087
CNN1D,40,0.022096076980233192,0.14552976191043854,0.14864749234424773,0.3814836325590372,0.08100314438343048,0.2607634961605072,0.9779337644577026,0.940461277961731
CNN1D,50,0.01814868114888668,0.08372398465871811,0.13471704104858703,0.28935097141485133,0.0740833431482315,0.19121654331684113,0.9818758368492126,0.965747058391571
CNN1D,60,0.016849583014845848,0.08747593313455582,0.12980594368073384,0.295763305929853,0.06991000473499298,0.19961799681186676,0.9831731915473938,0.9642120599746704
CNN1D,70,0.016793755814433098,0.06490153074264526,0.1295907242607784,0.25475778838466406,0.07764261215925217,0.1780690997838974,0.9832289218902588,0.9734476804733276
CNN1D,80,0.016472354531288147,0.08454147726297379,0.12834467083322215,0.2907601713835198,0.07918442785739899,0.19785703718662262,0.9835498929023743,0.9654126167297363
CNN1D,90,0.01607905700802803,0.091420978307724,0.1268032215995636,0.3023590222032807,0.07036002725362778,0.2169697880744934,0.9839426279067993,0.9625980854034424
CNN1D,100,0.014380608685314655,0.06972862780094147,0.11991917563640377,0.2640617878469762,0.07264154404401779,0.18109095096588135,0.9856387972831726,0.9714727997779846
