Model,Epoch,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R2,Test R2
GRUCNN,1,0.26669320464134216,1.9219039678573608,0.5164234741385622,1.386327511036754,0.2784824073314667,1.2116225957870483,0.7336668968200684,0.21371597051620483
GRUCNN,2,0.0814984068274498,0.3889453113079071,0.2854792581387478,0.6236548013989046,0.14694081246852875,0.43446335196495056,0.9186116456985474,0.8408757448196411
GRUCNN,3,0.058498822152614594,0.3969496488571167,0.24186529753690295,0.6300394026226588,0.12128351628780365,0.4165348410606384,0.9415801763534546,0.8376010656356812
GRUCNN,4,0.04336946830153465,0.3361043632030487,0.20825337524644025,0.5797450846734699,0.10490333288908005,0.3936905860900879,0.9566891193389893,0.8624939322471619
GRUCNN,5,0.03585023805499077,0.2089381366968155,0.18934159092758984,0.45709751333475385,0.09940017014741898,0.31888264417648315,0.9641981720924377,0.9145197868347168
GRUCNN,6,0.03496679663658142,0.23205962777137756,0.18699410856115606,0.48172567688610657,0.10315253585577011,0.3416707217693329,0.9650804400444031,0.9050604104995728
GRUCNN,7,0.03408125787973404,0.2138092964887619,0.18461109901556308,0.46239517351369697,0.10153914242982864,0.32483813166618347,0.9659647345542908,0.9125269651412964
GRUCNN,8,0.02987460047006607,0.20968765020370483,0.17284270441666338,0.45791664110807856,0.08916878700256348,0.34018149971961975,0.9701657295227051,0.9142131805419922
GRUCNN,9,0.032238736748695374,0.14760228991508484,0.17955148773734897,0.3841904344398554,0.09564483165740967,0.29818445444107056,0.9678047895431519,0.9396133422851562
GRUCNN,10,0.034715939313173294,0.2891063988208771,0.1863221385481964,0.5376861527144595,0.1007724404335022,0.3666987121105194,0.965330958366394,0.8817216157913208
