Model,Epoch,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R2,Test R2
BiLSTMNet,1,0.037624090909957886,0.040078483521938324,0.19396930404050505,0.20019611265441276,0.10002335906028748,0.11655192822217941,0.9623925089836121,0.9723319411277771
BiLSTMNet,2,0.028483286499977112,0.029530547559261322,0.16876992178696154,0.17184454474687674,0.08324767649173737,0.09433191269636154,0.9715292453765869,0.9796136617660522
BiLSTMNet,3,0.02488812617957592,0.02974420040845871,0.15775971025447505,0.17246507011119297,0.08065129816532135,0.09872724860906601,0.97512286901474,0.9794661998748779
BiLSTMNet,4,0.022851763293147087,0.0256776325404644,0.15116799692113106,0.16024241804361417,0.07726718485355377,0.08895421773195267,0.9771583080291748,0.982273519039154
BiLSTMNet,5,0.02269723452627659,0.023206159472465515,0.15065601390676905,0.1523356802343611,0.0727895200252533,0.08198154717683792,0.9773127436637878,0.9839797019958496
BiLSTMNet,6,0.01922488957643509,0.022451579570770264,0.13865384804048927,0.14983851164093384,0.0681452602148056,0.07956041395664215,0.9807835817337036,0.9845005869865417
BiLSTMNet,7,0.017898771911859512,0.02091102860867977,0.13378629194300704,0.14460646115813694,0.06648040562868118,0.08079526573419571,0.9821091294288635,0.985564112663269
BiLSTMNet,8,0.02265843190252781,0.028883356600999832,0.15052717994610743,0.16995104177674178,0.07727076858282089,0.0950537621974945,0.9773515462875366,0.9800604581832886
BiLSTMNet,9,0.019620273262262344,0.021123014390468597,0.14007238579485373,0.145337587672524,0.07070428133010864,0.0810760036110878,0.9803884029388428,0.9854177832603455
BiLSTMNet,10,0.01874019019305706,0.022871913388371468,0.13689481433953976,0.1512346302550162,0.07214076817035675,0.08808478713035583,0.981268048286438,0.9842104315757751
BiLSTMNet,11,0.020678529515862465,0.025474032387137413,0.14380031125092346,0.1596058657666986,0.07376758754253387,0.08570201694965363,0.9793305993080139,0.9824140667915344
BiLSTMNet,12,0.01731252670288086,0.020693276077508926,0.13157707514183792,0.14385157655552103,0.06685556471347809,0.07814523577690125,0.9826951026916504,0.9857144355773926
BiLSTMNet,13,0.017472032457590103,0.021153930574655533,0.13218181591122927,0.14544390868872967,0.06707409024238586,0.07917375862598419,0.9825356602668762,0.9853964447975159
BiLSTMNet,14,0.015277502126991749,0.017496421933174133,0.12360219305089917,0.13227404104046317,0.06014527007937431,0.07118245214223862,0.9847292304039001,0.987921416759491
BiLSTMNet,15,0.0148472273722291,0.016325747594237328,0.12184919930893719,0.1277722489206374,0.059508103877305984,0.0693882629275322,0.9851593375205994,0.9887295365333557
BiLSTMNet,16,0.015570061281323433,0.016550472006201744,0.12478005161612746,0.12864863779380545,0.059677522629499435,0.07131711393594742,0.9844368100166321,0.9885744452476501
BiLSTMNet,17,0.015092707239091396,0.015531934797763824,0.1228523798674303,0.12462718322165443,0.05978817865252495,0.07021540403366089,0.9849139451980591,0.9892776012420654
BiLSTMNet,18,0.014858802780508995,0.01568526402115822,0.12189668896450385,0.125240824099645,0.05986320227384567,0.06727303564548492,0.9851477742195129,0.9891717433929443
BiLSTMNet,19,0.018486130982637405,0.022484319284558296,0.1359637120066873,0.1499477218385071,0.06836205720901489,0.07810185849666595,0.9815220236778259,0.9844779968261719
BiLSTMNet,20,0.015394926071166992,0.01942559890449047,0.12407629133386842,0.13937574718899437,0.06279431283473969,0.07587509602308273,0.9846118688583374,0.9865896105766296
BiLSTMNet,21,0.015284023247659206,0.018323516473174095,0.1236285697064364,0.13536438406454668,0.061106905341148376,0.07031361758708954,0.9847227334976196,0.9873504042625427
BiLSTMNet,22,0.013913284055888653,0.01673664152622223,0.11795458471754565,0.12937017247504246,0.05964557081460953,0.07119976729154587,0.9860928654670715,0.9884458780288696
BiLSTMNet,23,0.013847130350768566,0.01587720215320587,0.11767383035649245,0.12600477035892677,0.06026550382375717,0.07276799529790878,0.9861589670181274,0.9890392422676086
BiLSTMNet,24,0.012846558354794979,0.01476693619042635,0.11334265902472457,0.12151928320405099,0.0557510145008564,0.06853721290826797,0.9871591329574585,0.9898056983947754
BiLSTMNet,25,0.012499541975557804,0.014676069840788841,0.11180135050864906,0.12114483002088385,0.05398712679743767,0.06327258050441742,0.9875059723854065,0.9898684024810791
BiLSTMNet,26,0.013686156831681728,0.015946587547659874,0.11698784907708035,0.126279798652278,0.060450173914432526,0.07522623986005783,0.986319899559021,0.9889913201332092
BiLSTMNet,27,0.012844284996390343,0.014215251430869102,0.1133326298838527,0.11922772928672719,0.0577089823782444,0.06733433157205582,0.98716139793396,0.9901865124702454
BiLSTMNet,28,0.01413812581449747,0.01771930418908596,0.11890385113400437,0.1331138767713042,0.0614706315100193,0.0762757807970047,0.9858680963516235,0.9877675175666809
BiLSTMNet,29,0.011079208925366402,0.012971337884664536,0.10525782120757773,0.11389178146233615,0.05151906982064247,0.06192109361290932,0.9889256954193115,0.9910452961921692
BiLSTMNet,30,0.01242281123995781,0.015988023951649666,0.11145766568503851,0.12644375805728675,0.05579826235771179,0.06484252214431763,0.9875826835632324,0.988962709903717
BiLSTMNet,31,0.010870212689042091,0.013917666859924793,0.10426031214725041,0.11797316160858279,0.05244136601686478,0.061805833131074905,0.9891345500946045,0.9903919696807861
BiLSTMNet,32,0.010882818140089512,0.011403110809624195,0.1043207464509793,0.10678534922743005,0.04975426197052002,0.05830802395939827,0.9891219735145569,0.9921278953552246
BiLSTMNet,33,0.0106952590867877,0.012674043886363506,0.10341788571996481,0.11257905616216325,0.050342023372650146,0.06241985037922859,0.9893094301223755,0.9912505149841309
BiLSTMNet,34,0.010596339590847492,0.014228181913495064,0.10293852335664959,0.1192819429481892,0.05320703238248825,0.06843183934688568,0.9894083142280579,0.9901776313781738
BiLSTMNet,35,0.010329235345125198,0.012328486889600754,0.1016328457986157,0.11103371960625634,0.04876493662595749,0.057977017015218735,0.9896753430366516,0.991489052772522
BiLSTMNet,36,0.010967496782541275,0.018507368862628937,0.10472581717294582,0.1360417908682069,0.05750102922320366,0.06924282759428024,0.9890373349189758,0.9872235059738159
BiLSTMNet,37,0.010005359537899494,0.012658894993364811,0.10002679409987852,0.11251175491194158,0.051216837018728256,0.06451492011547089,0.9899990558624268,0.9912609457969666
BiLSTMNet,38,0.01119386125355959,0.01162048801779747,0.1058010456165703,0.10779836741712497,0.05621377006173134,0.06251925975084305,0.9888110756874084,0.9919778108596802
BiLSTMNet,39,0.009064767509698868,0.013102147728204727,0.09520907262282764,0.114464613432295,0.04969000443816185,0.061122648417949677,0.990939199924469,0.9909549951553345
BiLSTMNet,40,0.009360368363559246,0.0103379525244236,0.09674899670569843,0.10167572239440249,0.04854414612054825,0.05591074377298355,0.9906437397003174,0.9928632378578186
BiLSTMNet,41,0.009234917350113392,0.01132913213223219,0.096098477355853,0.10643839594916953,0.0475887693464756,0.058690544217824936,0.9907691478729248,0.9921789765357971
BiLSTMNet,42,0.010063358582556248,0.010721632279455662,0.10031629270739748,0.10354531510143596,0.05111771449446678,0.05897805467247963,0.9899410605430603,0.9925983548164368
BiLSTMNet,43,0.008562573231756687,0.010319555178284645,0.09253417331859991,0.10158521141526775,0.04534745588898659,0.0544036328792572,0.9914411902427673,0.9928759336471558
BiLSTMNet,44,0.008301696740090847,0.011539989151060581,0.09111364738660639,0.10742434152025593,0.04751495271921158,0.05783049017190933,0.9917019605636597,0.9920334219932556
BiLSTMNet,45,0.00963168777525425,0.011499812826514244,0.09814116249186296,0.10723718024320783,0.050962649285793304,0.06267858296632767,0.9903725385665894,0.9920611381530762
BiLSTMNet,46,0.009616771712899208,0.012454024516046047,0.09806514015132599,0.11159760085255438,0.05100630968809128,0.06370875239372253,0.9903874397277832,0.9914023876190186
BiLSTMNet,47,0.008789971470832825,0.01055935025215149,0.09375484771910637,0.10275869915560186,0.04621993377804756,0.055399443954229355,0.9912139177322388,0.9927103519439697
