Model,Epoch,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R2,Test R2
CNN1D,1,0.09609664976596832,0.13242405652999878,0.3099945963496272,0.36390116313361626,0.1933446079492569,0.25363048911094666,0.9039456844329834,0.9085814356803894
CNN1D,2,0.0329994261264801,0.03620777279138565,0.18165744170410444,0.19028340125030782,0.09367655217647552,0.11645521223545074,0.9670151472091675,0.9750040769577026
CNN1D,3,0.029115889221429825,0.03573494032025337,0.17063378686951136,0.18903687555673726,0.0928865522146225,0.11717575043439865,0.9708969593048096,0.9753304719924927
CNN1D,4,0.030272509902715683,0.03740403801202774,0.17398997069577224,0.1934012358079124,0.0938255786895752,0.11667168885469437,0.9697408080101013,0.9741781949996948
CNN1D,5,0.022573355585336685,0.023820754140615463,0.15024431964416055,0.15433973610388046,0.07569931447505951,0.08707728236913681,0.9774366021156311,0.9835554361343384
CNN1D,6,0.025375714525580406,0.029914215207099915,0.1592975659750657,0.1729572641061945,0.08795342594385147,0.10895474255084991,0.9746354818344116,0.9793487787246704
CNN1D,7,0.024728411808609962,0.03067830763757229,0.1572527004811363,0.1751522413147268,0.08209846913814545,0.10435666143894196,0.9752824902534485,0.978821337223053
CNN1D,8,0.021058212965726852,0.024421099573373795,0.14511448227426116,0.15627251701234543,0.0747864618897438,0.09035367518663406,0.978951096534729,0.9831409454345703
CNN1D,9,0.01891997642815113,0.02016446366906166,0.13754990522770683,0.14200163262815557,0.06468091160058975,0.07208721339702606,0.9810883402824402,0.9860795140266418
CNN1D,10,0.020228495821356773,0.02388853020966053,0.1422269166555922,0.15455914793262976,0.07248044013977051,0.08679214864969254,0.9797804355621338,0.9835086464881897
CNN1D,11,0.024739623069763184,0.032174404710531235,0.15728834371867226,0.17937225178530605,0.08664174377918243,0.11617005616426468,0.9752712845802307,0.977788507938385
CNN1D,12,0.017874237149953842,0.01952034793794155,0.13369456664335258,0.13971523874632127,0.06716103851795197,0.0781434178352356,0.9821336269378662,0.9865241646766663
CNN1D,13,0.020783772692084312,0.024483518674969673,0.14416578197368582,0.15647210190628127,0.08598386496305466,0.09599250555038452,0.9792253971099854,0.9830978512763977
CNN1D,14,0.0167191531509161,0.018497098237276077,0.12930256436326426,0.13600403757711046,0.06414744257926941,0.07652217149734497,0.9832882285118103,0.9872305989265442
