Model,Epoch,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R2,Test R2
CNNLSTM,1,0.1158769428730011,0.1216537281870842,0.3404070252991279,0.3487889450471219,0.2014119178056717,0.23186515271663666,0.8841741681098938,0.916016697883606
CNNLSTM,2,0.06594040989875793,0.0721844956278801,0.25678864830587417,0.2686717246527444,0.1464395672082901,0.1694333553314209,0.9340886473655701,0.9501676559448242
CNNLSTM,3,0.04299526661634445,0.05308397114276886,0.20735300001771,0.23039959015321373,0.11789048463106155,0.14549003541469574,0.9570236802101135,0.9633536338806152
CNNLSTM,4,0.036480218172073364,0.04335496574640274,0.19099795331906927,0.20821855283908478,0.10228171199560165,0.11720062792301178,0.9635358452796936,0.9700700044631958
CNNLSTM,5,0.04405106231570244,0.05838960036635399,0.2098834493610738,0.2416394015187796,0.11463423818349838,0.14860759675502777,0.9559683799743652,0.9596909284591675
CNNLSTM,6,0.029378587380051613,0.034460898488759995,0.17140183015374022,0.1856364686390042,0.08859129995107651,0.10617736726999283,0.9706343412399292,0.9762099981307983
CNNLSTM,7,0.028002245351672173,0.03320242837071419,0.167338714443706,0.18221533516889896,0.08879510313272476,0.10727068781852722,0.97201007604599,0.9770787954330444
CNNLSTM,8,0.027508394792675972,0.03232817351818085,0.16585654883867557,0.17980037129600385,0.08710113912820816,0.10578744858503342,0.9725037217140198,0.97768235206604
CNNLSTM,9,0.03048897534608841,0.03177131712436676,0.17461092562061634,0.1782451040684337,0.0900450050830841,0.10276957601308823,0.9695244431495667,0.9780667424201965
CNNLSTM,10,0.029561249539256096,0.0313015952706337,0.17193385222013755,0.1769225685734686,0.09071867167949677,0.10696052014827728,0.9704517722129822,0.9783910512924194
CNNLSTM,11,0.02716030925512314,0.033579323440790176,0.16480385085040683,0.1832466191797005,0.08886699378490448,0.11016670614480972,0.9728516340255737,0.9768186211585999
CNNLSTM,12,0.023847604170441628,0.02740398608148098,0.15442669513539953,0.16554149353404113,0.08336380869150162,0.09838889539241791,0.9761629104614258,0.9810817241668701
CNNLSTM,13,0.024806205183267593,0.02687501721084118,0.15749985772459477,0.1639360156001151,0.07902857661247253,0.09187337011098862,0.9752047061920166,0.9814469218254089
CNNLSTM,14,0.022496292367577553,0.026463359594345093,0.1499876407160855,0.1626756269216292,0.07657944411039352,0.09096430242061615,0.9775136113166809,0.981731116771698
CNNLSTM,15,0.0220373272895813,0.028475238010287285,0.14844974668075825,0.16874607554040266,0.07527127861976624,0.0911165401339531,0.9779723882675171,0.9803422093391418
CNNLSTM,16,0.022392941638827324,0.02690899558365345,0.14964271328343162,0.16403961589705535,0.07781367003917694,0.09379685670137405,0.9776169061660767,0.9814234375953674
CNNLSTM,17,0.023271195590496063,0.026217974722385406,0.15254899406582811,0.16191965514533868,0.07959598302841187,0.09439750015735626,0.9767390489578247,0.9819005131721497
CNNLSTM,18,0.020872678607702255,0.024297524243593216,0.1444737990353346,0.1558766314865484,0.07294132560491562,0.08433281630277634,0.9791365265846252,0.9832262992858887
CNNLSTM,19,0.02173272706568241,0.024750322103500366,0.14742023967448437,0.1573223509343169,0.08138766884803772,0.09053339064121246,0.9782768487930298,0.9829136729240417
CNNLSTM,20,0.019267002120614052,0.02299792878329754,0.1388056271215762,0.15165068012804142,0.07220534235239029,0.08758024126291275,0.9807415008544922,0.9841234683990479
CNNLSTM,21,0.01935671456158161,0.024023134261369705,0.13912841033225964,0.1549939813714381,0.07538354396820068,0.08944356441497803,0.9806517958641052,0.9834157228469849
CNNLSTM,22,0.01897396147251129,0.021554579958319664,0.1377460034720111,0.1468147811302379,0.0718427374958992,0.08713095635175705,0.9810343980789185,0.9851198792457581
CNNLSTM,23,0.024002065882086754,0.028954748064279556,0.15492600131058296,0.17016094752991814,0.08396130055189133,0.1075015440583229,0.9760085344314575,0.9800111651420593
CNNLSTM,24,0.016869785264134407,0.019584424793720245,0.12988373748908832,0.1399443632080987,0.06851256638765335,0.07883323729038239,0.9831376671791077,0.9864799380302429
CNNLSTM,25,0.01735527068376541,0.020262207835912704,0.13173940444591895,0.1423453822078985,0.067598856985569,0.08280257880687714,0.9826523661613464,0.9860120415687561
CNNLSTM,26,0.0170840322971344,0.01938929781317711,0.1307059000088917,0.13924545886016215,0.06999263167381287,0.0813855305314064,0.9829235076904297,0.9866146445274353
CNNLSTM,27,0.016972487792372704,0.02137378789484501,0.13027850088319523,0.14619776980120117,0.06793239712715149,0.08463393151760101,0.9830349683761597,0.9852446913719177
CNNLSTM,28,0.016601968556642532,0.017953556030988693,0.12884862652214238,0.13399088040231952,0.06472110003232956,0.0744706466794014,0.983405351638794,0.9876058101654053
CNNLSTM,29,0.01522230077534914,0.017674267292022705,0.12337868849744327,0.13294460234256486,0.06373251229524612,0.07545966655015945,0.9847844243049622,0.9877986311912537
CNNLSTM,30,0.015473131090402603,0.0186189953237772,0.12439104103753856,0.13645143943461058,0.06674815714359283,0.08274734765291214,0.9845336675643921,0.9871464371681213
CNNLSTM,31,0.015571129508316517,0.01774677261710167,0.12478433198249096,0.1332170132419342,0.06478790193796158,0.0753762423992157,0.9844357371330261,0.9877485632896423
CNNLSTM,32,0.014168144203722477,0.016302382573485374,0.1190300138776875,0.12768078388498943,0.06289758533239365,0.07720578461885452,0.9858381152153015,0.9887456893920898
CNNLSTM,33,0.014747337438166142,0.016953948885202408,0.12143861592659125,0.1302073303819812,0.06756214797496796,0.07623210549354553,0.9852591753005981,0.9882959127426147
CNNLSTM,34,0.015080846846103668,0.01693461649119854,0.12280409946782586,0.13013307224221882,0.06254925578832626,0.07359571009874344,0.9849258065223694,0.9883092641830444
