Model,Epoch,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R2,Test R2
DeepFNN,1,0.03231893107295036,0.03361179679632187,0.1797746674950349,0.1833352033743707,0.13720865547657013,0.13931284844875336,0.9679291844367981,0.9653799533843994
DeepFNN,2,0.016711493954062462,0.016571808606386185,0.12927294362728212,0.1287315369534062,0.09232461452484131,0.09343156963586807,0.9834167957305908,0.9829310774803162
DeepFNN,3,0.011133925057947636,0.011458495631814003,0.10551741589873984,0.10704436291470001,0.07706969231367111,0.07857111841440201,0.988951563835144,0.9881978034973145
DeepFNN,4,0.011974685825407505,0.011947878636419773,0.10942890763142755,0.10930635222355457,0.07814187556505203,0.07821774482727051,0.9881172180175781,0.987693727016449
DeepFNN,5,0.005915359128266573,0.0060038212686777115,0.07691137190472273,0.07748432918131067,0.058983128517866135,0.05962803587317467,0.9941300749778748,0.993816077709198
DeepFNN,6,0.006020036991685629,0.006260429974645376,0.07758889734804605,0.0791228789582721,0.05773898959159851,0.05871380493044853,0.9940261840820312,0.9935517907142639
DeepFNN,7,0.007530917879194021,0.007486552000045776,0.08678086124943692,0.08652486347892019,0.06692414730787277,0.06706135720014572,0.9925268888473511,0.9922888875007629
DeepFNN,8,0.009666570462286472,0.009653211571276188,0.098318718778707,0.09825075862951994,0.07394125312566757,0.07412062585353851,0.9904076457023621,0.9900572299957275
DeepFNN,9,0.0036174836568534374,0.003613576525822282,0.06014552067156321,0.060113031247993824,0.043351974338293076,0.04380634427070618,0.9964103102684021,0.9962780475616455
DeepFNN,10,0.00443860050290823,0.004524954129010439,0.06662282268793653,0.06726777927812423,0.052279725670814514,0.05278724804520607,0.9955954551696777,0.9953393340110779
DeepFNN,11,0.005235039163380861,0.005094797816127539,0.07235357049504096,0.07137785242025385,0.051909781992435455,0.05161461979150772,0.9948051571846008,0.9947523474693298
DeepFNN,12,0.0074957567267119884,0.007591618224978447,0.08657803836257777,0.08712989283235947,0.05924948677420616,0.0598144493997097,0.9925617575645447,0.9921806454658508
DeepFNN,13,0.011425537057220936,0.011450032703578472,0.10689030385035368,0.10700482560884099,0.07378903031349182,0.07405617088079453,0.9886621832847595,0.9882065057754517
DeepFNN,14,0.004630997311323881,0.004591759294271469,0.06805143136866322,0.06776252130987652,0.049763068556785583,0.049683887511491776,0.9954045414924622,0.9952704906463623
DeepFNN,15,0.006858061067759991,0.006690818350762129,0.08281341115882132,0.08179742264131633,0.06314556300640106,0.062486834824085236,0.993194580078125,0.9931084513664246
DeepFNN,16,0.003506546374410391,0.003393427236005664,0.05921609894623582,0.05825313069703347,0.04643522575497627,0.04577246308326721,0.9965204000473022,0.9965047836303711
DeepFNN,17,0.006179628893733025,0.005883899517357349,0.07861061565547636,0.07670658066526855,0.056430067867040634,0.05500110238790512,0.993867814540863,0.9939395785331726
DeepFNN,18,0.003166613867506385,0.0032916730269789696,0.056272674252308155,0.057373103689611994,0.04129800945520401,0.04220306873321533,0.9968577027320862,0.9966095685958862
DeepFNN,19,0.004054592456668615,0.004069328773766756,0.06367568183120316,0.06379129073601471,0.04687349870800972,0.047043703496456146,0.9959765076637268,0.9958086013793945
DeepFNN,20,0.002369081135839224,0.002329555107280612,0.048673207577056433,0.048265464954567794,0.03833652287721634,0.03810523822903633,0.9976491332054138,0.9976005554199219
DeepFNN,21,0.006289201322942972,0.006050668656826019,0.07930448488542734,0.07778604410063555,0.050878629088401794,0.049672313034534454,0.9937590956687927,0.9937678575515747
DeepFNN,22,0.007286410313099623,0.007118303328752518,0.0853604727792649,0.08437003809856031,0.058922551572322845,0.058349400758743286,0.9927695393562317,0.9926681518554688
DeepFNN,23,0.007027988322079182,0.006834974512457848,0.08383309801074502,0.08267390466439727,0.060766953974962234,0.06015905365347862,0.9930259585380554,0.9929599761962891
DeepFNN,24,0.006120523437857628,0.005836885422468185,0.07823377427848939,0.0763995119255888,0.054344844073057175,0.05305009335279465,0.993926465511322,0.993988037109375
DeepFNN,25,0.00276499823667109,0.0026632314547896385,0.05258325053352151,0.051606505934713685,0.03906279057264328,0.038636818528175354,0.9972562193870544,0.997256875038147
DeepFNN,26,0.0027116513811051846,0.002671696012839675,0.05207351900059362,0.05168845144555673,0.04003617912530899,0.039829716086387634,0.997309148311615,0.9972481727600098
DeepFNN,27,0.002504199743270874,0.002406266052275896,0.050041979809664544,0.04905370579554511,0.03920045495033264,0.038610994815826416,0.9975150227546692,0.9975215792655945
DeepFNN,28,0.0024369163438677788,0.0024096679408103228,0.049365132876026764,0.04908836869168014,0.0378870815038681,0.03770587220788002,0.9975817799568176,0.9975180625915527
DeepFNN,29,0.00349881942383945,0.0034671728499233723,0.0591508192998157,0.05888270416619274,0.04094281047582626,0.04087533801794052,0.9965280294418335,0.9964288473129272
DeepFNN,30,0.003743679029867053,0.003550136461853981,0.06118561129764949,0.059583021590499934,0.044516388326883316,0.04331973195075989,0.996285080909729,0.9963433742523193
DeepFNN,31,0.004652362782508135,0.0044099269434809685,0.06820823104661296,0.06640728080173866,0.049731604754924774,0.04877028614282608,0.9953833222389221,0.9954577684402466
DeepFNN,32,0.002674354938790202,0.002575467573478818,0.05171416574585925,0.05074906475472053,0.03663088008761406,0.03633367642760277,0.9973461627960205,0.9973472952842712
DeepFNN,33,0.00435930909588933,0.004290085285902023,0.06602506414907394,0.06549874262840488,0.047890279442071915,0.047648586332798004,0.9956741333007812,0.9955812096595764
DeepFNN,34,0.003627481171861291,0.0034215289633721113,0.06022857438011704,0.05849383696913814,0.04142618179321289,0.04067973047494888,0.9964003562927246,0.9964758157730103
DeepFNN,35,0.003454923862591386,0.003428942756727338,0.05877860037965676,0.05855717510883989,0.043878987431526184,0.043701495975255966,0.9965716004371643,0.996468186378479
DeepFNN,36,0.0034231420140713453,0.0032757166773080826,0.058507623555151725,0.05723387700748642,0.0426618829369545,0.04183904454112053,0.9966031312942505,0.9966260194778442
DeepFNN,37,0.006202274467796087,0.006142871920019388,0.07875452030071727,0.0783764755524219,0.052649978548288345,0.0521351657807827,0.9938453435897827,0.9936728477478027
DeepFNN,38,0.006223020609468222,0.0061300769448280334,0.07888612431516852,0.0782948079046627,0.05193605273962021,0.051235049962997437,0.9938247203826904,0.9936860203742981
DeepFNN,39,0.010603430680930614,0.01016345713287592,0.10297296092145071,0.1008139729049298,0.0596579983830452,0.058164749294519424,0.9894779920578003,0.9895316958427429
DeepFNN,40,0.00608567800372839,0.0058334642089903355,0.07801075569258632,0.07637711836008436,0.05332641303539276,0.05199599266052246,0.9939610362052917,0.9939915537834167
DeepFNN,41,0.003834610804915428,0.00362680247053504,0.06192423439103166,0.060222939736740186,0.04212123900651932,0.04097380116581917,0.9961948394775391,0.9962643980979919
DeepFNN,42,0.0015348797896876931,0.0016239159740507603,0.03917754190461282,0.04029784081127375,0.027657369151711464,0.02837556041777134,0.9984769225120544,0.998327374458313
DeepFNN,43,0.0033880716655403376,0.003264473285526037,0.058207144454442514,0.0571355693550527,0.043032776564359665,0.0423690602183342,0.9966379404067993,0.9966375827789307
DeepFNN,44,0.0037385292816907167,0.003665488911792636,0.061143513815373064,0.06054328131008953,0.043388064950704575,0.04269563779234886,0.9962901473045349,0.996224582195282
DeepFNN,45,0.0018507896456867456,0.0018065337790176272,0.04302080480054674,0.042503338445557745,0.029566127806901932,0.029465757310390472,0.9981634020805359,0.9981392621994019
DeepFNN,46,0.008311518467962742,0.007943053729832172,0.0911675296800497,0.08912381123937739,0.05771169438958168,0.056765325367450714,0.9917522668838501,0.9918186664581299
DeepFNN,47,0.003364018863067031,0.0033105674665421247,0.05800016261241886,0.057537530938876105,0.04252488166093826,0.04188138246536255,0.9966617822647095,0.9965901374816895
DeepFNN,48,0.0037932663690298796,0.0037803035229444504,0.06158949885353736,0.0614841729467385,0.04024006053805351,0.039970315992832184,0.9962358474731445,0.9961063265800476
DeepFNN,49,0.0018800068646669388,0.0019864782225340605,0.04335904593815389,0.04456992509006562,0.030715368688106537,0.03130686655640602,0.998134434223175,0.9979539513587952
DeepFNN,50,0.0026257243007421494,0.0026759274769574404,0.051241821793747235,0.051729367645056715,0.03927602991461754,0.03911972418427467,0.9973944425582886,0.9972438216209412
DeepFNN,51,0.0035480367951095104,0.0036041014827787876,0.05956539931125712,0.060034169293651324,0.04010380432009697,0.04052143916487694,0.9964792132377625,0.9962877631187439
DeepFNN,52,0.0017345137894153595,0.00175490602850914,0.041647494395405826,0.04189159854325376,0.030210085213184357,0.030637843534350395,0.998278796672821,0.9981924295425415
DeepFNN,53,0.0029389839619398117,0.0029057608917355537,0.05421239675516857,0.05390511007071179,0.04018327593803406,0.04000575840473175,0.9970836043357849,0.9970070719718933
DeepFNN,54,0.0025546157266944647,0.0025511400308459997,0.05054320653356358,0.05050881141787045,0.03520680218935013,0.03528476506471634,0.9974650144577026,0.9973723292350769
DeepFNN,55,0.0022641560062766075,0.0023750567343086004,0.04758314834346932,0.04873455380229309,0.03464851900935173,0.035437047481536865,0.9977532029151917,0.9975537061691284
DeepFNN,56,0.00718318484723568,0.007051992695778608,0.08475367158557603,0.08397614361101972,0.05249956622719765,0.052166350185871124,0.9928719401359558,0.9927364587783813
DeepFNN,57,0.00224265456199646,0.0022724804002791643,0.04735667389076707,0.04767054017188356,0.033158473670482635,0.03322190046310425,0.9977745413780212,0.9976593255996704
DeepFNN,58,0.005885318387299776,0.0057618687860667706,0.07671582879236707,0.07590697455482448,0.04928959161043167,0.04885287582874298,0.9941598773002625,0.9940652847290039
DeepFNN,59,0.003345869015902281,0.003331695683300495,0.057843487238428845,0.05772084271128147,0.04122336581349373,0.0413372665643692,0.9966798424720764,0.9965683817863464
DeepFNN,60,0.0016025726217776537,0.0016359321307390928,0.04003214485607352,0.040446657843870026,0.02796628512442112,0.02818865329027176,0.9984097480773926,0.9983149766921997
DeepFNN,61,0.0023394341114908457,0.002329477807506919,0.04836769698353278,0.0482646641706634,0.03627327084541321,0.03645220771431923,0.9976785182952881,0.9976006746292114
DeepFNN,62,0.002554641105234623,0.002591912867501378,0.05054345759081608,0.05091083251628653,0.03528570756316185,0.0352693609893322,0.9974649548530579,0.9973303079605103
DeepFNN,63,0.0034056080039590597,0.003351865103468299,0.05835758737267211,0.05789529431195854,0.03898177295923233,0.03901655226945877,0.9966205358505249,0.9965475797653198
DeepFNN,64,0.004774720873683691,0.00472570164129138,0.06909935508876831,0.06874373892429317,0.04753308743238449,0.047542743384838104,0.9952619075775146,0.995132565498352
DeepFNN,65,0.007568100932985544,0.007583420258015394,0.08699483279474444,0.08708283561078724,0.056401289999485016,0.05657564103603363,0.9924899935722351,0.9921891093254089
DeepFNN,66,0.0031351910438388586,0.0030744269024580717,0.055992776711276414,0.05544751484474369,0.039113547652959824,0.038860853761434555,0.9968888759613037,0.996833324432373
DeepFNN,67,0.001898588496260345,0.0019065262749791145,0.04357279536890358,0.04366378676866122,0.030725784599781036,0.030923349782824516,0.9981159567832947,0.99803626537323
DeepFNN,68,0.0030798574443906546,0.0031608736608177423,0.055496463350295164,0.05622164761742351,0.03853838890790939,0.03886931389570236,0.9969437718391418,0.9967443346977234
DeepFNN,69,0.006447295658290386,0.006188365630805492,0.08029505375980756,0.07866616573092584,0.052052777260541916,0.051510028541088104,0.9936022162437439,0.9936259984970093
DeepFNN,70,0.001619648770429194,0.00166820187587291,0.04024486017405445,0.0408436271145562,0.028070123866200447,0.028803151100873947,0.9983927607536316,0.9982817769050598
DeepFNN,71,0.0034570868592709303,0.0033714836463332176,0.05879699702596154,0.05806447835237322,0.03858416900038719,0.0381915383040905,0.9965694546699524,0.996527373790741
DeepFNN,72,0.0024289535358548164,0.002548827324062586,0.04928441473584541,0.05048591213460034,0.03419509530067444,0.03510909527540207,0.9975897073745728,0.9973747134208679
DeepFNN,73,0.003891694825142622,0.0038238929118961096,0.06238344992979005,0.0618376334596992,0.046637777239084244,0.046122610569000244,0.9961381554603577,0.996061384677887
DeepFNN,74,0.003934951964765787,0.0038550521712750196,0.06272919547360532,0.062089066439068155,0.045965537428855896,0.04546363651752472,0.9960952401161194,0.9960293173789978
DeepFNN,75,0.0019075305899605155,0.001998692750930786,0.04367528580284868,0.044706741672043,0.03047562763094902,0.03133102506399155,0.9981071352958679,0.9979413747787476
DeepFNN,76,0.0020220400765538216,0.0021125583443790674,0.04496709993488374,0.045962575475913744,0.031542759388685226,0.03267461434006691,0.9979934692382812,0.9978240728378296
