Model,Epoch,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R2,Test R2
DeepLSTMNet,1,0.04809647798538208,0.05761272832751274,0.21930909234544307,0.24002651588420965,0.11307946592569351,0.14419527351856232,0.951924741268158,0.9602271914482117
DeepLSTMNet,2,0.033615898340940475,0.03780486807227135,0.1833463889498249,0.1944347398801751,0.08802546560764313,0.10474174469709396,0.9663989543914795,0.9739015102386475
DeepLSTMNet,3,0.031004564836621284,0.0361153818666935,0.17608113140430828,0.19004047428559395,0.0846957415342331,0.10172726958990097,0.9690091013908386,0.9750678539276123
DeepLSTMNet,4,0.029048653319478035,0.03396713733673096,0.17043665485885962,0.1843017561954605,0.08339619636535645,0.09868457168340683,0.9709641337394714,0.9765508770942688
DeepLSTMNet,5,0.02736576274037361,0.03361542895436287,0.16542600382156855,0.1833451088913006,0.08137521892786026,0.0990675836801529,0.9726462960243225,0.9767937064170837
DeepLSTMNet,6,0.03418733924627304,0.04358358681201935,0.1848981861627448,0.20876682402148897,0.09899971634149551,0.12442879378795624,0.9658277034759521,0.9699121713638306
DeepLSTMNet,7,0.02508370950818062,0.03209194168448448,0.1583783744965853,0.17914223869452028,0.07695339620113373,0.09260724484920502,0.9749273657798767,0.9778454303741455
DeepLSTMNet,8,0.023776540532708168,0.031215736642479897,0.1541964348897476,0.1766797573081871,0.07746031880378723,0.09681708365678787,0.976233959197998,0.9784502983093262
DeepLSTMNet,9,0.021057305857539177,0.028214870020747185,0.14511135674901252,0.16797282524488055,0.07207738608121872,0.08829914033412933,0.9789519906044006,0.9805219173431396
DeepLSTMNet,10,0.0210651196539402,0.029424795880913734,0.1451382777007506,0.1715365730126195,0.07537426799535751,0.09511053562164307,0.9789441823959351,0.9796866774559021
