Model,Epoch,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R2,Test R2
GRUNet,10,0.0008138632401823997,0.0018359011737629771,0.028528288420134842,0.04284741735230931,0.01991383731365204,0.025947919115424156,0.9991865158081055,0.9987325668334961
GRUNet,20,0.0007624471909366548,0.0017625117907300591,0.027612446304821577,0.041982279484683284,0.018478263169527054,0.026256630197167397,0.9992378950119019,0.9987832307815552
GRUNet,30,0.000496869848575443,0.001033899374306202,0.022290577573841442,0.03215430568844866,0.01448669284582138,0.01909652166068554,0.9995033740997314,0.9992862343788147
GRUNet,40,0.0004787245125044137,0.0010618071537464857,0.021879774050579538,0.03258538251649788,0.015741871669888496,0.020822592079639435,0.9995214939117432,0.9992669820785522
GRUNet,50,0.00035787533852271736,0.001044861157424748,0.01891759335969344,0.032324312172492514,0.013188258744776249,0.01822013221681118,0.9996422529220581,0.9992786645889282
GRUNet,60,0.00023410955327562988,0.0007734965765848756,0.01530063898259252,0.02781180642433849,0.010667050257325172,0.015438420698046684,0.9997659921646118,0.9994660019874573
GRUNet,70,0.0004079232458025217,0.0011725405929610133,0.020197109837858527,0.034242380071499316,0.01373607199639082,0.019047936424613,0.9995922446250916,0.9991905689239502
GRUNet,80,0.0004012867284473032,0.0009432340739294887,0.020032142382863178,0.030712116077038533,0.014403743669390678,0.018524890765547752,0.9995988607406616,0.9993488192558289
GRUNet,90,0.0006826280150562525,0.0011582530569285154,0.026127150917316884,0.03403311706159921,0.018268022686243057,0.02273455075919628,0.9993176460266113,0.9992004036903381
GRUNet,100,0.00020937489171046764,0.0006349532050080597,0.014469792386570984,0.025198277818296626,0.010392817668616772,0.014355026185512543,0.9997907280921936,0.9995616674423218
