Model,Epoch,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R2,Test R2
Seq2SeqLSTM,10,0.0012684778776019812,0.0029588534962385893,0.03561569706747267,0.054395344435333705,0.022433483973145485,0.02870089001953602,0.9987320899963379,0.9979573488235474
Seq2SeqLSTM,20,0.0013328911736607552,0.0035797045566141605,0.03650878214431091,0.059830632259856326,0.02321454882621765,0.027531443163752556,0.9986677169799805,0.9975287318229675
Seq2SeqLSTM,30,0.001110043260268867,0.0030499552376568317,0.03331731172031842,0.05522639982523604,0.02139420062303543,0.02602335251867771,0.9988904595375061,0.9978944659233093
Seq2SeqLSTM,40,0.0008913913043215871,0.002068642992526293,0.02985617698771206,0.045482337148900924,0.019101403653621674,0.02423175610601902,0.9991090297698975,0.9985719323158264
Seq2SeqLSTM,50,0.0008065282600000501,0.002033477183431387,0.028399441191686327,0.045094092555803655,0.018590403720736504,0.023252826184034348,0.9991938471794128,0.99859619140625
Seq2SeqLSTM,60,0.0010883561335504055,0.002192461397498846,0.03299024300532516,0.04682372686468737,0.021832924336194992,0.02750304900109768,0.9989120960235596,0.9984864592552185
Seq2SeqLSTM,70,0.0006899345899000764,0.0016365504125133157,0.0262666059836454,0.04045430029691918,0.01829243265092373,0.022283194586634636,0.9993103742599487,0.9988701939582825
Seq2SeqLSTM,80,0.0004943031235598028,0.0013891333946958184,0.022232928812007714,0.037271079870266954,0.01489317137748003,0.019117873162031174,0.9995059370994568,0.9990410208702087
Seq2SeqLSTM,90,0.0005194726400077343,0.0009705242118798196,0.022791942436039415,0.031153237582630472,0.016027312725782394,0.020908592268824577,0.9994807839393616,0.9993299841880798
Seq2SeqLSTM,100,0.000515915104188025,0.0009148758836090565,0.022713764641468508,0.030246915274273117,0.015857236459851265,0.018932804465293884,0.9994843006134033,0.99936842918396
