Model,Epoch,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R2,Test R2
TCN,1,0.011952752247452736,0.016082199290394783,0.10932864330747334,0.12681561138280564,0.0619661770761013,0.08034967631101608,0.988052487373352,0.9888976812362671
TCN,2,0.009938296861946583,0.011826219037175179,0.09969100692613443,0.10874842084911017,0.05054912343621254,0.06452733278274536,0.9900661110877991,0.9918357729911804
TCN,3,0.009867222979664803,0.010758424177765846,0.09933389642848409,0.10372282380347078,0.04789646714925766,0.05767244100570679,0.9901371002197266,0.9925729632377625
TCN,4,0.00934099406003952,0.010737520642578602,0.0966488182030154,0.10362200848554616,0.04477860778570175,0.05492362007498741,0.9906631112098694,0.9925873875617981
TCN,5,0.009364674799144268,0.011377258226275444,0.09677124985833482,0.10666423124119652,0.04844663664698601,0.06293542683124542,0.9906394481658936,0.9921457171440125
TCN,6,0.009398961439728737,0.011417620815336704,0.09694824103473325,0.10685326768675212,0.04843167960643768,0.06290653347969055,0.9906051754951477,0.9921178817749023
TCN,7,0.00908306147903204,0.011157061904668808,0.09530509681560603,0.10562699420445897,0.048602789640426636,0.0624292753636837,0.9909209609031677,0.9922977685928345
TCN,8,0.010084101930260658,0.01256832666695118,0.10041962920794249,0.11210854858997675,0.05204052850604057,0.0678485631942749,0.9899203181266785,0.9913234710693359
TCN,9,0.008516720496118069,0.00962616316974163,0.09228607964432159,0.09811301223457382,0.04669713228940964,0.05600092560052872,0.9914870262145996,0.9933546185493469
TCN,10,0.008586348965764046,0.010285395197570324,0.09266255428037826,0.10141693742945665,0.04449586197733879,0.05659838765859604,0.991417407989502,0.992899477481842
