Model,Epoch,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R2,Test R2
TCNLSTM,1,0.022275524213910103,0.025116611272096634,0.1492498717383372,0.15848221121657988,0.08246034383773804,0.10071399062871933,0.9777342677116394,0.9826608300209045
TCNLSTM,2,0.01985275186598301,0.021537361666560173,0.14089979370454384,0.1467561299113607,0.08156520873308182,0.09473731368780136,0.9801560044288635,0.9851317405700684
TCNLSTM,3,0.015535657294094563,0.018409697338938713,0.12464211685499633,0.13568233981966377,0.06340911984443665,0.07823773473501205,0.9844712018966675,0.9872909188270569
TCNLSTM,4,0.01582818664610386,0.01895100064575672,0.1258101213976994,0.13766263344043916,0.07203613221645355,0.09062439948320389,0.9841787815093994,0.98691725730896
TCNLSTM,5,0.014228303916752338,0.016167564317584038,0.11928245435416031,0.12715173737540528,0.05999608337879181,0.07096955925226212,0.9857779741287231,0.988838791847229
TCNLSTM,6,0.014989102259278297,0.01680601015686989,0.12242998921538095,0.1296379965784333,0.06923311203718185,0.0809556096792221,0.9850174784660339,0.988398015499115
TCNLSTM,7,0.012414408847689629,0.01440726313740015,0.11141996610881565,0.12003025925740622,0.054254867136478424,0.0648198351264,0.9875910878181458,0.9900540113449097
TCNLSTM,8,0.012318323366343975,0.013669464737176895,0.1109879424367529,0.11691648616502677,0.06111441180109978,0.07248274981975555,0.9876871109008789,0.9905633330345154
TCNLSTM,9,0.011985613964498043,0.013273580931127071,0.1094788288414616,0.11521102781907239,0.05365591123700142,0.06303829699754715,0.9880196452140808,0.9908366203308105
TCNLSTM,10,0.012380710802972317,0.013011600822210312,0.11126864249631302,0.11406840413633527,0.055095624178647995,0.0626942366361618,0.9876247644424438,0.9910174608230591
TCNLSTM,11,0.011385902762413025,0.012339114211499691,0.10670474573519692,0.11108156557908108,0.05504034832119942,0.062417082488536835,0.9886190891265869,0.9914817214012146
TCNLSTM,12,0.010771042667329311,0.01126596424728632,0.103783633908865,0.1061412466823634,0.05010411888360977,0.060655299574136734,0.9892337322235107,0.9922225475311279
TCNLSTM,13,0.011463342234492302,0.012507503852248192,0.10706699881145591,0.11183695208761812,0.05390756577253342,0.065638966858387,0.9885417222976685,0.9913654923439026
TCNLSTM,14,0.010672264732420444,0.010764318518340588,0.10330665386324564,0.10375123381599174,0.050012096762657166,0.05915692821145058,0.9893324375152588,0.9925689101219177
TCNLSTM,15,0.010581456124782562,0.011416912078857422,0.1028662049692831,0.10684995123469838,0.05085970088839531,0.060208842158317566,0.9894232153892517,0.9921183586120605
TCNLSTM,16,0.010673207230865955,0.012527608312666416,0.10331121541665239,0.11192679890297237,0.054375190287828445,0.06968915462493896,0.9893314838409424,0.9913516044616699
TCNLSTM,17,0.010167999193072319,0.010334478691220284,0.1008364973264756,0.10165863805511209,0.04959588497877121,0.057747434824705124,0.9898364543914795,0.9928656220436096
TCNLSTM,18,0.01078717689961195,0.01185517106205225,0.10386133495970457,0.10888145416944178,0.05333613604307175,0.06578166037797928,0.9892175793647766,0.9918158054351807
TCNLSTM,19,0.009634778834879398,0.010246685706079006,0.09815690925696162,0.10122591420223878,0.048771291971206665,0.05951952934265137,0.990369439125061,0.9929262399673462
TCNLSTM,20,0.010225462727248669,0.010775469243526459,0.10112103009388634,0.10380495770205997,0.05133667588233948,0.062313567847013474,0.9897790551185608,0.9925611615180969
TCNLSTM,21,0.009473626501858234,0.009970879182219505,0.09733255622790472,0.09985428975371817,0.046955641359090805,0.05737760290503502,0.9905305504798889,0.9931166172027588
TCNLSTM,22,0.009000779129564762,0.009123699739575386,0.09487243608954479,0.09551805975612877,0.04820464923977852,0.056981757283210754,0.9910032153129578,0.9937014579772949
TCNLSTM,23,0.008365492336452007,0.008682077750563622,0.09146306542234416,0.09317766766003333,0.04341316968202591,0.05155215412378311,0.99163818359375,0.994006335735321
TCNLSTM,24,0.009276961907744408,0.009703573770821095,0.09631698660020675,0.09850671941964718,0.05381176620721817,0.06335227936506271,0.9907271265983582,0.9933011531829834
TCNLSTM,25,0.00848412699997425,0.008720559999346733,0.09210932091799533,0.09338393865835137,0.04470311477780342,0.0526665635406971,0.9915196299552917,0.993979811668396
TCNLSTM,26,0.007951733656227589,0.00799922551959753,0.08917249383205332,0.08943838951813439,0.04205691069364548,0.04860358685255051,0.9920517802238464,0.9944777488708496
TCNLSTM,27,0.0077704135328531265,0.008040396496653557,0.08814994913698547,0.0896682580217412,0.04461401328444481,0.05392433702945709,0.9922330379486084,0.9944493174552917
TCNLSTM,28,0.008033854886889458,0.008098836988210678,0.08963177386892138,0.08999353859144932,0.04354136064648628,0.05170845985412598,0.9919697046279907,0.9944089651107788
TCNLSTM,29,0.007868985645473003,0.007763185538351536,0.08870730322511784,0.08810894130763083,0.04149879515171051,0.048458728939294815,0.9921345114707947,0.9946407079696655
TCNLSTM,30,0.007610062602907419,0.007791387382894754,0.08723567276583255,0.0882688358532883,0.0417887307703495,0.04971548169851303,0.9923933148384094,0.994621217250824
TCNLSTM,31,0.007710000965744257,0.008064497262239456,0.08780661117332941,0.08980254596746941,0.044590383768081665,0.0547529011964798,0.9922934174537659,0.9944326877593994
TCNLSTM,32,0.007269399706274271,0.007476544473320246,0.08526077472246116,0.0864670137874568,0.04095057398080826,0.04863744229078293,0.9927337765693665,0.9948385953903198
TCNLSTM,33,0.008448953740298748,0.009446361102163792,0.09191819047554596,0.09719239220311326,0.04355355724692345,0.05339296907186508,0.9915547966957092,0.9934787154197693
TCNLSTM,34,0.007315145805478096,0.007161533925682306,0.0855286256494169,0.08462584667630987,0.043797362595796585,0.05077674984931946,0.9926880598068237,0.9950560331344604
TCNLSTM,35,0.006878277752548456,0.007180178537964821,0.08293538299512733,0.0847359341599821,0.03960814327001572,0.046759944409132004,0.993124783039093,0.995043158531189
TCNLSTM,36,0.006953494623303413,0.007154347840696573,0.08338761672636659,0.08458337804023065,0.04242805019021034,0.049899790436029434,0.9930495619773865,0.9950610399246216
TCNLSTM,37,0.006605742499232292,0.006860201247036457,0.08127571900163229,0.08282633184583546,0.039341699331998825,0.04692157357931137,0.9933971762657166,0.9952640533447266
TCNLSTM,38,0.006674746051430702,0.007342355791479349,0.0816991190370539,0.08568754747032586,0.041036151349544525,0.0505499467253685,0.9933282136917114,0.9949312210083008
TCNLSTM,39,0.0069236052222549915,0.00706910714507103,0.08320820405618061,0.08407798252260237,0.041865237057209015,0.051357656717300415,0.993079423904419,0.9951198697090149
TCNLSTM,40,0.0060934810899198055,0.005971294362097979,0.0780607525579904,0.07727415067212307,0.038611773401498795,0.043604228645563126,0.9939091801643372,0.995877742767334
TCNLSTM,41,0.005846356973052025,0.005555224139243364,0.07646147378289295,0.07453337600862693,0.036007314920425415,0.04275776073336601,0.9941562414169312,0.9961649775505066
TCNLSTM,42,0.006117627955973148,0.006454302929341793,0.07821526677045312,0.08033867642264088,0.03887610137462616,0.04819208383560181,0.9938850402832031,0.9955443143844604
TCNLSTM,43,0.0055408054031431675,0.005179388914257288,0.07443658645547341,0.07196797144742437,0.03497952222824097,0.041465673595666885,0.9944616556167603,0.9964244365692139
TCNLSTM,44,0.005422533489763737,0.0055047920905053616,0.0736378536471816,0.07419428610415604,0.035886067897081375,0.04385177418589592,0.9945798516273499,0.9961997866630554
TCNLSTM,45,0.005443760193884373,0.005382348317652941,0.07378184189815522,0.07336448948676015,0.03525245934724808,0.041866399347782135,0.9945586323738098,0.9962843060493469
TCNLSTM,46,0.0060642254538834095,0.0059740678407251835,0.07787313692078553,0.07729209429641032,0.03711148351430893,0.043903619050979614,0.9939384460449219,0.9958758354187012
TCNLSTM,47,0.005193083081394434,0.004932524170726538,0.07206304934843122,0.07023193127578464,0.03433096781373024,0.0409870520234108,0.9948092103004456,0.9965948462486267
TCNLSTM,48,0.005643200594931841,0.005702282302081585,0.07512123930641613,0.075513457754771,0.037402622401714325,0.04499203711748123,0.9943593144416809,0.9960634708404541
