DateTime,Station,Energy Production (kWh)
2022-01-02,Amberd 3,156.82181116676475
2022-01-03,Amberd 3,-964.1529563212989
2022-01-04,Amberd 3,1441.5142625586595
2022-01-05,Amberd 3,218.928049772363
2022-01-06,Amberd 3,-21.9679591285676
2022-01-07,Amberd 3,-207.24695862361295
2022-01-08,Amberd 3,-208.90841321778862
2022-01-09,Amberd 3,-274.16225806697184
2022-01-10,Amberd 3,-197.6078605687726
2022-01-11,Amberd 3,4.846763290481249
2022-01-12,Amberd 3,-186.58289756268277
2022-01-13,Amberd 3,296.6156165712073
2022-01-14,Amberd 3,-3884.7286202974046
2022-01-15,Amberd 3,1926.9280810815708
2022-01-16,Amberd 3,35.87736534589931
2022-01-17,Amberd 3,1710.9265470826776
2022-01-18,Amberd 3,433.5805175256537
2022-01-19,Amberd 3,110.77483881665466
2022-01-20,Amberd 3,-403.0059147259617
2022-01-21,Amberd 3,430.8735969419067
2022-01-22,Amberd 3,576.6805925610661
2022-01-23,Amberd 3,-114.5270051257612
2022-01-24,Amberd 3,-109.95169874620842
2022-01-25,Amberd 3,38.255588450290816
2022-01-26,Amberd 3,-43.20734697397711
2022-01-27,Amberd 3,26.933381800492498
2022-01-28,Amberd 3,24.47866618505759
2022-01-29,Amberd 3,44.41256422745391
2022-01-30,Amberd 3,-158.77616519094772
2022-01-31,Amberd 3,146.29347895858155
2022-02-01,Amberd 3,76.48173280800802
2022-02-02,Amberd 3,-45.34260093505327
2022-02-03,Amberd 3,-111.25852064597711
2022-02-04,Amberd 3,-52.65668557456229
2022-02-05,Amberd 3,-3649.1782183951964
2022-02-06,Amberd 3,449.92866864620555
2022-02-07,Amberd 3,2650.1964996902334
2022-02-08,Amberd 3,388.93659345956985
2022-02-09,Amberd 3,170.16389586459445
2022-02-10,Amberd 3,174.5102674447735
2022-02-11,Amberd 3,69.44121630465088
2022-02-12,Amberd 3,-22.266818368372697
2022-02-13,Amberd 3,99.11920185289455
2022-02-14,Amberd 3,-299.3337678428634
2022-02-15,Amberd 3,-394.6607217681212
2022-02-16,Amberd 3,-477.82957063044887
2022-02-17,Amberd 3,-625.2215621863197
2022-02-18,Amberd 3,-632.0793007105585
2022-02-19,Amberd 3,-548.6146270016197
2022-02-20,Amberd 3,-661.5243322950228
2022-02-21,Amberd 3,-676.5823236844099
2022-02-22,Amberd 3,-563.7490555557415
2022-02-23,Amberd 3,-282.3421183426781
2022-02-24,Amberd 3,109.97324068084163
2022-02-25,Amberd 3,357.32823806484157
2022-02-26,Amberd 3,152.40535708392963
2022-02-27,Amberd 3,535.1637508639124
2022-02-28,Amberd 3,592.0473191824221
2022-03-01,Amberd 3,264.9854844728088
2022-03-02,Amberd 3,832.3976395939226
2022-03-03,Amberd 3,3735.7775614768216
2022-03-04,Amberd 3,-1955.0012214721937
2022-03-05,Amberd 3,-4575.980041822719
2022-03-06,Amberd 3,4751.601643619051
2022-03-07,Amberd 3,4115.804365573069
2022-03-08,Amberd 3,2075.3789037320257
2022-03-09,Amberd 3,1491.1636600601196
