Station,Datetime,Energy Production (kWh)
Amberd 3,2022-01-01,12693.38
Amberd 3,2022-01-02,13652.380000000001
Amberd 3,2022-01-03,12507.04
Amberd 3,2022-01-04,14888.44
Amberd 3,2022-01-05,13641.18
Amberd 3,2022-01-06,13375.6
Amberd 3,2022-01-07,13166.16
Amberd 3,2022-01-08,13141.380000000001
Amberd 3,2022-01-09,13054.439999999999
Amberd 3,2022-01-10,13111.0
Amberd 3,2022-01-11,13295.24
Amberd 3,2022-01-12,13087.34
Amberd 3,2022-01-13,13555.78
Amberd 3,2022-01-14,9361.24
Amberd 3,2022-01-15,15161.300000000001
Amberd 3,2022-01-16,13257.86
Amberd 3,2022-01-17,14918.54
Amberd 3,2022-01-18,13623.68
Amberd 3,2022-01-19,13280.12
Amberd 3,2022-01-20,12742.52
Amberd 3,2022-01-21,13549.76
Amberd 3,2022-01-22,13666.1
Amberd 3,2022-01-23,12942.86
Amberd 3,2022-01-24,12913.460000000001
Amberd 3,2022-01-25,13026.3
Amberd 3,2022-01-26,12908.56
Amberd 3,2022-01-27,12942.02
Amberd 3,2022-01-28,12902.960000000001
Amberd 3,2022-01-29,12886.86
Amberd 3,2022-01-30,12648.72
Amberd 3,2022-01-31,12920.460000000001
Amberd 3,2022-02-01,12819.380000000001
Amberd 3,2022-02-02,12668.88
Amberd 3,2022-02-03,12577.46
Amberd 3,2022-02-04,12614.279999999999
Amberd 3,2022-02-05,9000.18
Amberd 3,2022-02-06,13086.36
Amberd 3,2022-02-07,15276.52
Amberd 3,2022-02-08,13006.42
Amberd 3,2022-02-09,12780.18
Amberd 3,2022-02-10,12778.78
Amberd 3,2022-02-11,12670.14
Amberd 3,2022-02-12,12577.6
Amberd 3,2022-02-13,12701.5
Amberd 3,2022-02-14,12309.5
Amberd 3,2022-02-15,12225.22
Amberd 3,2022-02-16,12158.16
Amberd 3,2022-02-17,12032.16
Amberd 3,2022-02-18,12051.9
Amberd 3,2022-02-19,12166.7
Amberd 3,2022-02-20,12089.0
Amberd 3,2022-02-21,12111.82
Amberd 3,2022-02-22,12263.58
Amberd 3,2022-02-23,12582.92
Amberd 3,2022-02-24,13009.78
Amberd 3,2022-02-25,13285.72
Amberd 3,2022-02-26,13100.92
Amberd 3,2022-02-27,13493.06
Amberd 3,2022-02-28,13546.4
Amberd 3,2022-03-01,13201.02
Amberd 3,2022-03-02,13733.86
Amberd 3,2022-03-03,16585.100000000002
Amberd 3,2022-03-04,10823.82
Amberd 3,2022-03-05,8115.52
Amberd 3,2022-03-06,17339.28
Amberd 3,2022-03-07,16580.62
Amberd 3,2022-03-08,14398.720000000001
Amberd 3,2022-03-09,13657.42
Amberd 3,2022-03-10,13569.36
Amberd 3,2022-03-11,14641.900000000001
Amberd 3,2022-03-12,13890.800000000001
Amberd 3,2022-03-13,13764.800000000001
Amberd 3,2022-03-14,13608.42
Amberd 3,2022-03-15,13602.960000000001
Amberd 3,2022-03-16,13200.46
Amberd 3,2022-03-17,13815.2
Amberd 3,2022-03-18,13251.0
Amberd 3,2022-03-19,13436.220000000001
Amberd 3,2022-03-20,13420.82
Amberd 3,2022-03-21,13470.800000000001
Amberd 3,2022-03-22,13538.7
Amberd 3,2022-03-23,13913.9
Amberd 3,2022-03-24,13634.6
Amberd 3,2022-03-25,13519.1
Amberd 3,2022-03-26,13700.400000000001
Amberd 3,2022-03-27,13537.16
Amberd 3,2022-03-28,9558.92
Amberd 3,2022-03-29,16149.560000000001
Amberd 3,2022-03-30,17973.48
Amberd 3,2022-03-31,20522.32
Amberd 3,2022-04-01,22518.72
Amberd 3,2022-04-02,24454.22
Amberd 3,2022-04-03,35726.740000000005
Amberd 3,2022-04-04,43711.92
Amberd 3,2022-04-05,41074.32
Amberd 3,2022-04-06,38863.3
Amberd 3,2022-04-07,49044.24
Amberd 3,2022-04-08,48999.86
Amberd 3,2022-04-09,56843.64
Amberd 3,2022-04-10,63844.9
Amberd 3,2022-04-11,70079.38
Amberd 3,2022-04-12,114148.72
Amberd 3,2022-04-13,124681.48
Amberd 3,2022-04-14,103498.08
Amberd 3,2022-04-15,57044.12
Amberd 3,2022-04-16,52170.3
Amberd 3,2022-04-17,74276.58
Amberd 3,2022-04-18,96933.06
Amberd 3,2022-04-19,123036.76
Amberd 3,2022-04-20,149357.32
Amberd 3,2022-04-21,134511.02
Amberd 3,2022-04-22,118708.38
Amberd 3,2022-04-23,125585.74
Amberd 3,2022-04-24,145502.14
Amberd 3,2022-04-25,192283.7
Amberd 3,2022-04-26,216435.94
Amberd 3,2022-04-27,222572.98
Amberd 3,2022-04-28,202472.90000000002
Amberd 3,2022-04-29,218539.58000000002
Amberd 3,2022-04-30,211432.9
Amberd 3,2022-05-01,205630.18
Amberd 3,2022-05-02,205740.64
Amberd 3,2022-05-03,174179.18
Amberd 3,2022-05-04,136068.38
Amberd 3,2022-05-05,148115.38
Amberd 3,2022-05-06,118670.02
Amberd 3,2022-05-07,90663.02
Amberd 3,2022-05-08,102025.98
Amberd 3,2022-05-09,99413.02
