DateTime,Station,Energy Production (kWh)
2022-01-02,Amberd 3,-15.48994149468308
2022-01-03,Amberd 3,-952.8237931359145
2022-01-04,Amberd 3,1455.962244989938
2022-01-05,Amberd 3,321.22922166215176
2022-01-06,Amberd 3,81.40747699390886
2022-01-07,Amberd 3,-174.8797441937313
2022-01-08,Amberd 3,-403.93896800770744
2022-01-09,Amberd 3,-152.40480823064536
2022-01-10,Amberd 3,30.224046193894537
2022-01-11,Amberd 3,54.47988461994464
2022-01-12,Amberd 3,-313.87013575390665
2022-01-13,Amberd 3,-28.633260523551144
2022-01-14,Amberd 3,-4472.344803563759
2022-01-15,Amberd 3,907.5196057761277
2022-01-16,Amberd 3,-770.5606115546252
2022-01-17,Amberd 3,1093.362003917715
2022-01-18,Amberd 3,-60.905989150522146
2022-01-19,Amberd 3,-199.8977975955022
2022-01-20,Amberd 3,-602.312653906878
2022-01-21,Amberd 3,269.4500344291846
2022-01-22,Amberd 3,162.9286088986155
2022-01-23,Amberd 3,-234.16859543667306
2022-01-24,Amberd 3,-76.74128931612722
2022-01-25,Amberd 3,60.00513629111083
2022-01-26,Amberd 3,44.69577358538845
2022-01-27,Amberd 3,122.63415354096105
2022-01-28,Amberd 3,29.537365949547166
2022-01-29,Amberd 3,-277.36075200835694
2022-01-30,Amberd 3,-202.72206448113684
2022-01-31,Amberd 3,244.68879916220976
2022-02-01,Amberd 3,119.9482163419325
2022-02-02,Amberd 3,-0.19361868009582395
2022-02-03,Amberd 3,-131.25837463079552
2022-02-04,Amberd 3,-275.1167507502778
2022-02-05,Amberd 3,-4282.27100884072
2022-02-06,Amberd 3,53.19667639527324
2022-02-07,Amberd 3,2347.167158206361
2022-02-08,Amberd 3,12.227017635905213
2022-02-09,Amberd 3,-96.42261627004336
2022-02-10,Amberd 3,44.39817100212895
2022-02-11,Amberd 3,-14.491544939875894
2022-02-12,Amberd 3,-321.0500067624598
2022-02-13,Amberd 3,183.29697778835362
2022-02-14,Amberd 3,24.73296604663119
2022-02-15,Amberd 3,-17.515142119857046
2022-02-16,Amberd 3,20.743270746246708
2022-02-17,Amberd 3,-22.80713325961551
2022-02-18,Amberd 3,-48.07033053796658
2022-02-19,Amberd 3,-262.77247209953566
2022-02-20,Amberd 3,-118.2219526402896
2022-02-21,Amberd 3,-83.76935742737078
2022-02-22,Amberd 3,-150.43854737457514
2022-02-23,Amberd 3,2.9873443586056965
2022-02-24,Amberd 3,251.70554047987025
2022-02-25,Amberd 3,254.70717115830485
2022-02-26,Amberd 3,-416.70212406873
2022-02-27,Amberd 3,82.95268006909282
2022-02-28,Amberd 3,-20.241866021586247
2022-03-01,Amberd 3,-850.1963896249345
2022-03-02,Amberd 3,-916.3816271520373
2022-03-03,Amberd 3,1378.8121655005416
2022-03-04,Amberd 3,-4833.947481576537
2022-03-05,Amberd 3,-8105.753318829592
2022-03-06,Amberd 3,1214.7394957046035
2022-03-07,Amberd 3,704.0885029438614
2022-03-08,Amberd 3,-856.4436869350557
2022-03-09,Amberd 3,-1003.7854333404666
2022-03-10,Amberd 3,-612.3648940886287
2022-03-11,Amberd 3,684.9712189710172
2022-03-12,Amberd 3,-272.56520525772976
2022-03-13,Amberd 3,-53.44074655648001
2022-03-14,Amberd 3,3.5639102872737567
2022-03-15,Amberd 3,51.40987626532842
2022-03-16,Amberd 3,-266.4524048614712
2022-03-17,Amberd 3,435.70159997632436
2022-03-18,Amberd 3,-175.91000400919984
2022-03-19,Amberd 3,-329.1298646761861
2022-03-20,Amberd 3,-101.7195679114684
2022-03-21,Amberd 3,39.11419032505728
2022-03-22,Amberd 3,14.408293204489382
2022-03-23,Amberd 3,356.725401515876
2022-03-24,Amberd 3,105.4380497658185
2022-03-25,Amberd 3,-156.22451123654537
2022-03-26,Amberd 3,-759.720040676626
2022-03-27,Amberd 3,-1357.1273108395562
2022-03-28,Amberd 3,-6075.984339935956
2022-03-29,Amberd 3,-620.4932126587973
2022-03-30,Amberd 3,-608.8925410071097
2022-03-31,Amberd 3,-1560.9404950493044
2022-04-01,Amberd 3,-3665.2898156266347
2022-04-02,Amberd 3,-5772.103181172704
2022-04-03,Amberd 3,1939.7543783029687
2022-04-04,Amberd 3,5907.424150246057
2022-04-05,Amberd 3,-214.5431924516597
2022-04-06,Amberd 3,-5208.94801148519
2022-04-07,Amberd 3,2270.120820274584
2022-04-08,Amberd 3,-522.7914955223314
2022-04-09,Amberd 3,-9372.406838619005
2022-04-10,Amberd 3,-16945.762350788864
2022-04-11,Amberd 3,-24763.055761659416
2022-04-12,Amberd 3,4614.7996203828225
2022-04-13,Amberd 3,0.0
2022-04-14,Amberd 3,-15598.374689550386
2022-04-15,Amberd 3,-56584.355059556496
2022-04-16,Amberd 3,-56258.402846005425
2022-04-17,Amberd 3,-29388.461659511348
2022-04-18,Amberd 3,-7.275957614183426e-11
2022-04-19,Amberd 3,13542.871039099991
2022-04-20,Amberd 3,27327.37695651564
2022-04-21,Amberd 3,-1.1641532182693481e-10
2022-04-22,Amberd 3,-32476.754033078687
2022-04-23,Amberd 3,-42096.266841109915
2022-04-24,Amberd 3,-38281.92412484353
2022-04-25,Amberd 3,-7743.420052942645
2022-04-26,Amberd 3,0.0
2022-04-27,Amberd 3,6126.188277702313
2022-04-28,Amberd 3,-13921.696331520507
2022-04-29,Amberd 3,20184.47391183942
2022-04-30,Amberd 3,18768.203775615053
2022-05-01,Amberd 3,31349.719956094923
2022-05-02,Amberd 3,31592.911006074923
2022-05-03,Amberd 3,0.0
2022-05-04,Amberd 3,-38124.89436331359
2022-05-05,Amberd 3,-26020.93758801493
2022-05-06,Amberd 3,-21419.291801593048
2022-05-07,Amberd 3,-39125.28620433049
2022-05-08,Amberd 3,8499.852769128629
2022-05-09,Amberd 3,6288.7497261164535
2022-05-10,Amberd 3,1537.9548048888828
2022-05-11,Amberd 3,-1560.6262819989934
2022-05-12,Amberd 3,-7729.997374790779
2022-05-13,Amberd 3,-20339.361958010748
2022-05-14,Amberd 3,-72816.78940883995
2022-05-15,Amberd 3,-41846.08528189262
2022-05-16,Amberd 3,17581.724007033627
2022-05-17,Amberd 3,-11798.316477807675
2022-05-18,Amberd 3,0.0
2022-05-19,Amberd 3,6995.956800723827
2022-05-20,Amberd 3,20919.373096104624
2022-05-21,Amberd 3,-39930.67395046605
2022-05-22,Amberd 3,-10468.81455504967
2022-05-23,Amberd 3,40357.297241121225
2022-05-24,Amberd 3,0.0
2022-05-25,Amberd 3,-40938.06979697925
2022-05-26,Amberd 3,-86996.03860521443
2022-05-27,Amberd 3,-91298.4650145912
2022-05-28,Amberd 3,-55068.946414400416
2022-05-29,Amberd 3,-20558.81371804548
2022-05-30,Amberd 3,2.302934411476599
2022-05-31,Amberd 3,-3802.976776431373
2022-06-01,Amberd 3,-14804.896635243815
2022-06-02,Amberd 3,-76.38877440188662
2022-06-03,Amberd 3,6304.7599615808285
2022-06-04,Amberd 3,11397.53286068316
2022-06-05,Amberd 3,14706.89687023958
2022-06-06,Amberd 3,19626.542706300883
2022-06-07,Amberd 3,6891.085909884045
2022-06-08,Amberd 3,343.9573226070497
2022-06-09,Amberd 3,17511.95265287874
2022-06-10,Amberd 3,4399.124605907986
2022-06-11,Amberd 3,-19.272112954800832
2022-06-12,Amberd 3,-16110.403663501493
2022-06-13,Amberd 3,21131.196439906707
2022-06-14,Amberd 3,-6063.450296236435
2022-06-15,Amberd 3,-24176.211680440152
2022-06-16,Amberd 3,-4617.065626919779
2022-06-17,Amberd 3,594.3677024241697
2022-06-18,Amberd 3,2943.8997040186296
2022-06-19,Amberd 3,-516.2268138134059
2022-06-20,Amberd 3,11459.346540518869
2022-06-21,Amberd 3,-7197.999026097845
2022-06-22,Amberd 3,-23356.454207865456
2022-06-23,Amberd 3,15.217937973007793
2022-06-24,Amberd 3,-40.120836973484984
2022-06-25,Amberd 3,5748.583224316644
2022-06-26,Amberd 3,-13446.237968670292
2022-06-27,Amberd 3,12262.058777889139
2022-06-28,Amberd 3,1469.386985105586
2022-06-29,Amberd 3,-260.57960173095853
2022-06-30,Amberd 3,40.13358351391798
2022-07-01,Amberd 3,163.03751444900263
2022-07-02,Amberd 3,5711.392770218881
2022-07-03,Amberd 3,-279.3083141839779
2022-07-04,Amberd 3,-1274.01144379178
2022-07-05,Amberd 3,79.3187647905579
2022-07-06,Amberd 3,-715.2343191366526
2022-07-07,Amberd 3,-362.46920794664766
2022-07-08,Amberd 3,-1.5232778447752935
2022-07-09,Amberd 3,671.390640070098
2022-07-10,Amberd 3,81.84916644645637
2022-07-11,Amberd 3,-73.41839945416359
2022-07-12,Amberd 3,29.322102053065464
2022-07-13,Amberd 3,-226.3928328635193
2022-07-14,Amberd 3,-244.79335711363638
2022-07-15,Amberd 3,53.334654114607474
2022-07-16,Amberd 3,-623.7904388854113
2022-07-17,Amberd 3,454.30515429648403
2022-07-18,Amberd 3,877.591246320062
2022-07-19,Amberd 3,-394.3514896465531
2022-07-20,Amberd 3,-864.6344982202609
2022-07-21,Amberd 3,-698.9334445748718
2022-07-22,Amberd 3,850.2424334624466
2022-07-23,Amberd 3,666.4484521415379
2022-07-24,Amberd 3,399.90870174527663
2022-07-25,Amberd 3,-275.27047072614914
2022-07-26,Amberd 3,-733.014307931544
2022-07-27,Amberd 3,-728.6079146528573
2022-07-28,Amberd 3,1021.3541991864295
2022-07-29,Amberd 3,439.7869400996733
2022-07-30,Amberd 3,-703.2942613886389
2022-07-31,Amberd 3,-499.9552585141937
2022-08-01,Amberd 3,-498.14745610202044
2022-08-02,Amberd 3,-1386.0642409152715
2022-08-03,Amberd 3,134.8025145105239
2022-08-04,Amberd 3,1450.4819750982242
2022-08-05,Amberd 3,550.735506108369
2022-08-06,Amberd 3,-315.01199834126055
2022-08-07,Amberd 3,8.085972274657252
2022-08-08,Amberd 3,4103.134128793554
2022-08-09,Amberd 3,1813.0448706094976
2022-08-10,Amberd 3,-164.09475583481617
2022-08-11,Amberd 3,-76.77220978577316
2022-08-12,Amberd 3,192.34939457626388
2022-08-13,Amberd 3,-211.16098227622024
2022-08-14,Amberd 3,-269.98445873909077
2022-08-15,Amberd 3,3.6202635823592573
2022-08-16,Amberd 3,-31.40150976838595
2022-08-17,Amberd 3,-130.2700321518605
2022-08-18,Amberd 3,98.57705394273034
2022-08-19,Amberd 3,-144.00520171711833
2022-08-20,Amberd 3,-400.9097615532537
2022-08-21,Amberd 3,-410.36236801565974
2022-08-22,Amberd 3,90.15608620765124
2022-08-23,Amberd 3,-271.6829679289149
2022-08-24,Amberd 3,584.6552796199521
2022-08-25,Amberd 3,-63.891929114475715
2022-08-26,Amberd 3,242.7445807868662
2022-08-27,Amberd 3,-43.772989404274995
2022-08-28,Amberd 3,85.70282556201528
2022-08-29,Amberd 3,97.92803159599862
2022-08-30,Amberd 3,-177.810661869029
2022-08-31,Amberd 3,637.1406367050749
2022-09-01,Amberd 3,-113.67158096618186
2022-09-02,Amberd 3,110.41734827182336
2022-09-03,Amberd 3,-779.1636405655354
2022-09-04,Amberd 3,-191.04371016029472
2022-09-05,Amberd 3,-202.31701359880753
2022-09-06,Amberd 3,816.5072240713926
2022-09-07,Amberd 3,5681.057105560809
2022-09-08,Amberd 3,674.2116126417841
2022-09-09,Amberd 3,-320.19687169109966
2022-09-10,Amberd 3,-423.9568442698728
2022-09-11,Amberd 3,55.6539077933885
2022-09-12,Amberd 3,-107.28270005860213
2022-09-13,Amberd 3,-479.25863445517643
2022-09-14,Amberd 3,-167.95597775693204
2022-09-15,Amberd 3,273.8222448020315
2022-09-16,Amberd 3,64.80592340879593
2022-09-17,Amberd 3,-537.5419532588076
2022-09-18,Amberd 3,443.50563607508775
2022-09-19,Amberd 3,175.84596160401452
2022-09-20,Amberd 3,-145.1311213553672
2022-09-21,Amberd 3,-293.5254493452594
2022-09-22,Amberd 3,4825.68754669408
2022-09-23,Amberd 3,5693.100457621998
2022-09-24,Amberd 3,976.5352719721341
2022-09-25,Amberd 3,-300.6700343268458
2022-09-26,Amberd 3,-329.6662439961656
2022-09-27,Amberd 3,-219.91648416865792
2022-09-28,Amberd 3,86.6451843901632
2022-09-29,Amberd 3,228.03270338755465
2022-09-30,Amberd 3,94.87230210550479
2022-10-01,Amberd 3,-255.96949231031795
2022-10-02,Amberd 3,102.1530971664306
2022-10-03,Amberd 3,208.65105402711742
2022-10-04,Amberd 3,-167.78706814688667
2022-10-05,Amberd 3,-558.6694954989543
2022-10-06,Amberd 3,-1622.6272187583454
2022-10-07,Amberd 3,966.5837019347564
2022-10-08,Amberd 3,-401.1349674445646
2022-10-09,Amberd 3,2836.045228855486
2022-10-10,Amberd 3,1638.9619096474144
2022-10-11,Amberd 3,-627.33949261813
2022-10-12,Amberd 3,-782.3175087129966
2022-10-13,Amberd 3,-818.0458742465053
2022-10-14,Amberd 3,414.23519663308434
2022-10-15,Amberd 3,1200.0789321317898
2022-10-16,Amberd 3,1723.791589529228
2022-10-17,Amberd 3,125.05076612641642
2022-10-18,Amberd 3,-470.1835067430493
2022-10-19,Amberd 3,-607.0008667008151
2022-10-20,Amberd 3,-411.6462514258237
2022-10-21,Amberd 3,560.8595188280469
2022-10-22,Amberd 3,-17.80348890323512
2022-10-23,Amberd 3,-195.49191221482215
2022-10-24,Amberd 3,-656.4680907317634
2022-10-25,Amberd 3,58.75176218474735
2022-10-26,Amberd 3,359.53420048598855
2022-10-27,Amberd 3,295.7424070167617
2022-10-28,Amberd 3,288.18913916108795
2022-10-29,Amberd 3,-120.76292798704344
