DateTime,Station,Energy Production (kWh),Energy Production (W),Water Flow (m³/s)
2022-01-01,Amberd 3,12693.38,45696168000.0,17160.144044639645
2022-01-02,Amberd 3,13652.38,49148568000.0,18456.613396286677
2022-01-03,Amberd 3,12507.04,45025344000.0,16908.23153266268
2022-01-04,Amberd 3,14888.44,53598384000.0,20127.639367920496
2022-01-05,Amberd 3,13641.18,49108248000.0,18441.47214838423
2022-01-06,Amberd 3,13375.6,48152160000.0,18082.435307497453
2022-01-07,Amberd 3,13166.16,47398176000.0,17799.29397172169
2022-01-08,Amberd 3,13141.38,47308968000.0,17765.793960737527
2022-01-09,Amberd 3,13054.44,46995984000.0,17648.26002389478
2022-01-10,Amberd 3,13111.0,47199600000.0,17724.72332580214
2022-01-11,Amberd 3,13295.24,47862864000.0,17973.796853797394
2022-01-12,Amberd 3,13087.34,47114424000.0,17692.73743960822
2022-01-13,Amberd 3,13555.78,48800808000.0,18326.02013312807
2022-01-14,Amberd 3,9361.24,33700464000.0,12655.43352806285
2022-01-15,Amberd 3,15161.3,54580680000.0,20496.518019943862
2022-01-16,Amberd 3,13257.86,47728296000.0,17923.262938922977
2022-01-17,Amberd 3,14918.54,53706744000.0,20168.331471658323
2022-01-18,Amberd 3,13623.68,49045248000.0,18417.813948536656
2022-01-19,Amberd 3,13280.12,47808432000.0,17953.356169129092
2022-01-20,Amberd 3,12742.52,45873072000.0,17226.57626981163
2022-01-21,Amberd 3,13549.76,48779136000.0,18317.881712380506
2022-01-22,Amberd 3,13666.1,49197960000.0,18475.161424967173
2022-01-23,Amberd 3,12942.86,46594296000.0,17497.415341666652
2022-01-24,Amberd 3,12913.46,46488456000.0,17457.66956592273
2022-01-25,Amberd 3,13026.3,46894680000.0,17610.217638539885
2022-01-26,Amberd 3,12908.56,46470816000.0,17451.04526996541
2022-01-27,Amberd 3,12942.02,46591272000.0,17496.27974807397
2022-01-28,Amberd 3,12902.96,46450656000.0,17443.474646014183
2022-01-29,Amberd 3,12886.86,46392696000.0,17421.70910215442
2022-01-30,Amberd 3,12648.72,45535392000.0,17099.768318628634
2022-01-31,Amberd 3,12920.46,46513656000.0,17467.132845861757
2022-02-01,Amberd 3,12819.38,46149768000.0,17330.483083542174
2022-02-02,Amberd 3,12668.88,45607968000.0,17127.02256485304
2022-02-03,Amberd 3,12577.46,45278856000.0,17003.432128849316
2022-02-04,Amberd 3,12614.28,45411408000.0,17053.20898132861
2022-02-05,Amberd 3,9000.18,32400648000.0,12167.31754880771
2022-02-06,Amberd 3,13086.36,47110896000.0,17691.412580416756
2022-02-07,Amberd 3,15276.52,54995472000.0,20652.283607740286
2022-02-08,Amberd 3,13006.42,46823112000.0,17583.34192351304
2022-02-09,Amberd 3,12780.18,46008648000.0,17277.48871588361
2022-02-10,Amberd 3,12778.78,46003608000.0,17275.5960598958
2022-02-11,Amberd 3,12670.14,45612504000.0,17128.725955242066
2022-02-12,Amberd 3,12577.6,45279360000.0,17003.621394448095
2022-02-13,Amberd 3,12701.5,45725400000.0,17171.12144936892
2022-02-14,Amberd 3,12309.5,44314200000.0,16641.17777278327
2022-02-15,Amberd 3,12225.22,44010792000.0,16527.239882317353
2022-02-16,Amberd 3,12158.16,43769376000.0,16436.58166050145
2022-02-17,Amberd 3,12032.16,43315776000.0,16266.242621598922
2022-02-18,Amberd 3,12051.9,43386840000.0,16292.929071026985
2022-02-19,Amberd 3,12166.7,43800120000.0,16448.126862027068
2022-02-20,Amberd 3,12089.0,43520400000.0,16343.084454703841
2022-02-21,Amberd 3,12111.82,43602552000.0,16373.934747305078
2022-02-22,Amberd 3,12263.58,44148888000.0,16579.098656383238
2022-02-23,Amberd 3,12582.92,45298512000.0,17010.813487201758
2022-02-24,Amberd 3,13009.78,46835208000.0,17587.884297883775
2022-02-25,Amberd 3,13285.72,47828592000.0,17960.926793080314
2022-02-26,Amberd 3,13100.92,47163312000.0,17711.096202689936
2022-02-27,Amberd 3,13493.06,48575016000.0,18241.229144874367
2022-02-28,Amberd 3,13546.4,48767040000.0,18313.33933800977
2022-03-01,Amberd 3,13201.02,47523672000.0,17846.42110581806
2022-03-02,Amberd 3,13733.86,49441896000.0,18566.76597477698
2022-03-03,Amberd 3,16585.100000000002,59706360000.00001,22421.349159542453
2022-03-04,Amberd 3,10823.82,38965752000.0,14632.691238523661
2022-03-05,Amberd 3,8115.52,29215872000.0,10971.34823011317
2022-03-06,Amberd 3,17339.28,62421408000.0,23440.92294017348
2022-03-07,Amberd 3,16580.62,59690231999.99999,22415.29266038147
2022-03-08,Amberd 3,14398.72,51835392000.0,19465.588303385994
2022-03-09,Amberd 3,13657.42,49166712000.0,18463.426957842777
2022-03-10,Amberd 3,13569.36,48849696000.0,18344.378896209786
2022-03-11,Amberd 3,14641.9,52710840000.0,19794.34264846788
2022-03-12,Amberd 3,13890.8,50006880000.0,18778.93271101002
2022-03-13,Amberd 3,13764.8,49553280000.0,18608.59367210749
2022-03-14,Amberd 3,13608.42,48990312000.0,18397.18399826957
2022-03-15,Amberd 3,13602.96,48970656000.0,18389.80263991713
2022-03-16,Amberd 3,13200.46,47521656000.0,17845.664043422938
2022-03-17,Amberd 3,13815.2,49734720000.0,18676.729287668502
2022-03-18,Amberd 3,13251.0,47703600000.0,17913.98892458273
2022-03-19,Amberd 3,13436.22,48370392000.0,18164.387311769446
2022-03-20,Amberd 3,13420.82,48314952000.0,18143.56809590358
2022-03-21,Amberd 3,13470.8,48494880000.0,18211.13591466825
2022-03-22,Amberd 3,13538.7,48739320000.0,18302.929730076838
2022-03-23,Amberd 3,13913.9,50090040000.0,18810.161534808816
2022-03-24,Amberd 3,13634.6,49084560000.0,18432.57666524154
2022-03-25,Amberd 3,13519.1,48668760000.0,18276.432546247557
2022-03-26,Amberd 3,13700.4,49321440000.0,18521.53149666842
2022-03-27,Amberd 3,13537.16,48733776000.0,18300.847808490253
2022-03-28,Amberd 3,9558.92,34412112000.0,12922.676553541041
2022-03-29,Amberd 3,16149.56,58138416000.0,21832.543881736037
2022-03-30,Amberd 3,17973.48,64704528000.0,24298.29610264955
2022-03-31,Amberd 3,20522.32,73880352000.0,27744.06559404895
2022-04-01,Amberd 3,22518.72,81067392000.0,30442.993032660146
2022-04-02,Amberd 3,24454.22,88035192000.0,33059.589935801785
2022-04-03,Amberd 3,35726.740000000005,128616264000.00003,48298.87741841724
2022-04-04,Amberd 3,43711.92,157362912000.0,59094.01937606568
2022-04-05,Amberd 3,41074.32,147867552000.0,55528.25549503938
2022-04-06,Amberd 3,38863.3,139907880000.0,52539.183893497546
2022-04-07,Amberd 3,49044.24,176559264000.0,66302.76750242074
2022-04-08,Amberd 3,48999.86,176399496000.0,66242.7703076073
2022-04-09,Amberd 3,56843.64,204637104000.0,76846.75401048735
2022-04-10,Amberd 3,63844.9,229841640000.0,86311.73733990581
2022-04-11,Amberd 3,70079.38,252285768000.0,94740.11298480298
2022-04-12,Amberd 3,114148.72,410935392000.0,154317.3274345555
2022-04-13,Amberd 3,124681.48,448853328000.0,168556.53549321432
2022-04-14,Amberd 3,103498.08,372593088000.0,139918.75774172344
2022-04-15,Amberd 3,57044.12,205358832000.0,77117.78234794115
2022-04-16,Amberd 3,52170.3,187813080000.0,70528.87905759251
2022-04-17,Amberd 3,74276.58,267395688000.0,100414.29563624503
2022-04-18,Amberd 3,96933.06,348959016000.0,131043.52601810529
2022-04-19,Amberd 3,123036.76,442932336000.0,166333.04323873998
2022-04-20,Amberd 3,149357.32,537686352000.0,201915.7328718858
2022-04-21,Amberd 3,134511.02,484239672000.0,181845.06244919825
2022-04-22,Amberd 3,118708.38,427350168000.0,160481.5187212405
2022-04-23,Amberd 3,125585.74,452108664000.0,169779.00199573813
2022-04-24,Amberd 3,145502.14,523807704000.0,196703.92607826472
2022-04-25,Amberd 3,192283.7,692221320000.0,259947.78297319356
2022-04-26,Amberd 3,216435.94,779169384000.0,292599.1270124256
2022-04-27,Amberd 3,222572.98,801262728000.0,300895.7738005715
2022-04-28,Amberd 3,202472.9,728902440000.0,273722.5332524448
2022-04-29,Amberd 3,218539.58,786742488000.0,295443.03189970274
2022-04-30,Amberd 3,211432.9,761158440000.0,285835.5315744025
2022-05-01,Amberd 3,205630.18,740268648000.0,277990.85103614465
2022-05-02,Amberd 3,205740.64,740666304000.0,278140.18159358256
2022-05-03,Amberd 3,174179.18,627045048000.0,235472.33427008538
2022-05-04,Amberd 3,136068.38,489846168000.0,183950.4529700335
2022-05-05,Amberd 3,148115.38,533215368000.0,200236.75774510318
2022-05-06,Amberd 3,118670.02,427212072000.0,160429.65994717463
2022-05-07,Amberd 3,90663.02,326386872000.0,122567.07691111784
2022-05-08,Amberd 3,102025.98,367293528000.0,137928.62997054553
2022-05-09,Amberd 3,99413.02,357886872000.0,134396.17683490462
2022-05-10,Amberd 3,94575.88,340473168000.0,127856.86113143651
2022-05-11,Amberd 3,91456.82,329244552000.0,123640.21285620377
2022-05-12,Amberd 3,85108.24,306389664000.0,115057.58574830041
2022-05-13,Amberd 3,72294.32,260259552000.0,97734.48402311068
2022-05-14,Amberd 3,63213.92,227570112000.0,85458.71728620169
2022-05-15,Amberd 3,106566.04,383637744000.0,144066.32407340125
2022-05-16,Amberd 3,208517.54,750663144000.0,281894.2647453955
2022-05-17,Amberd 3,179168.08,645005088000.0,242216.81388263166
2022-05-18,Amberd 3,190986.88,687552768000.0,258194.61573168897
2022-05-19,Amberd 3,197916.46,712499256000.0,267562.6950745318
2022-05-20,Amberd 3,182677.18,657637848000.0,246960.75611606712
2022-05-21,Amberd 3,107564.8,387233280000.0,145416.54485510197
2022-05-22,Amberd 3,122141.46,439709256000.0,165122.6897345381
2022-05-23,Amberd 3,143610.32,516997152000.0,194146.3800419426
2022-05-24,Amberd 3,103283.18,371819448000.0,139628.23504759523
2022-05-25,Amberd 3,62368.74,224527464000.0,84316.12086636327
2022-05-26,Amberd 3,38953.32,140231952000.0,52660.88167351346
2022-05-27,Amberd 3,46071.06,165855816000.0,62283.33398111738
2022-05-28,Amberd 3,94010.7,338438520000.0,127092.79590915928
2022-05-29,Amberd 3,150952.2,543427920000.0,204071.84657319426
2022-05-30,Amberd 3,171394.72,617020992000.0,231708.03077593827
2022-05-31,Amberd 3,167591.2,603328320000.0,226566.06298826722
2022-06-01,Amberd 3,156604.56,563776416000.0,211713.25585836175
2022-06-02,Amberd 3,171255.0,616518000000.0,231519.14370835523
2022-06-03,Amberd 3,172255.72,620120592000.0,232872.0142084389
2022-06-04,Amberd 3,171843.7,618637320000.0,232315.0055512276
2022-06-05,Amberd 3,168809.9,607715640000.0,228213.62002565226
2022-06-06,Amberd 3,167844.6,604240560000.0,226908.6337220601
2022-06-07,Amberd 3,143216.92,515580912000.0,193614.54370936914
2022-06-08,Amberd 3,134045.1,482562360000.0,181215.18653645643
2022-06-09,Amberd 3,141257.62,508527432000.0,190965.77165443482
2022-06-10,Amberd 3,118309.52,425914272000.0,159942.30103031461
2022-06-11,Amberd 3,104294.26,375459336000.0,140995.11120198865
2022-06-12,Amberd 3,91038.08,327737088000.0,123074.11945025103
2022-06-13,Amberd 3,100292.64,361053504000.0,135585.33259204307
2022-06-14,Amberd 3,60809.56,218914416000.0,82208.26989274386
2022-06-15,Amberd 3,30776.9,110796840000.0,41607.20290793073
2022-06-16,Amberd 3,24619.7,88630920000.0,33283.30187356044
2022-06-17,Amberd 3,29719.34,106989624000.0,40177.490574742165
2022-06-18,Amberd 3,32356.1,116481960000.0,43742.118862175776
2022-06-19,Amberd 3,28392.980000000003,102214728000.00002,38384.38829189487
2022-06-20,Amberd 3,40280.24,145008864000.0,54454.741018755885
2022-06-21,Amberd 3,21556.5,77603400000.0,29142.170572241157
2022-06-22,Amberd 3,5441.8,19590480000.0,7356.7538246014865
2022-06-23,Amberd 3,28897.4,104030640000.0,39066.312244301334
2022-06-24,Amberd 3,28993.3,104375880000.0,39195.95917946604
2022-06-25,Amberd 3,35396.9,127428840000.0,47852.967667690165
2022-06-26,Amberd 3,15806.7,56904120000.0,21369.032430322375
2022-06-27,Amberd 3,41187.86,148276296000.0,55681.74989565044
2022-06-28,Amberd 3,30646.0,110325600000.0,41430.23957307089
2022-06-29,Amberd 3,28555.8,102800880000.0,38604.504183276695
2022-06-30,Amberd 3,27138.86,97699896000.0,36688.947058018355
2022-07-01,Amberd 3,25675.300000000003,92431080000.00002,34710.36448836609
