iter	RMSE
0	11.67866104
1	11.35296568
2	11.01869474
3	10.68329077
4	10.34739211
5	10.05402405
6	9.836366186
7	9.6472329
8	9.403472814
9	9.160396575
10	8.989658744
11	8.775989024
12	8.576445003
13	8.339897787
14	8.138718711
15	7.996172205
16	7.774608836
17	7.608079964
18	7.489937328
19	7.282252047
20	7.135783784
21	6.982819948
22	6.827516068
23	6.714479011
24	6.595523077
25	6.502244302
26	6.352331917
27	6.205946148
28	6.071532473
29	5.951834049
30	5.886534032
31	5.77561621
32	5.697798807
33	5.62803045
34	5.538772449
35	5.451360082
36	5.364031523
37	5.24403608
38	5.167323609
39	5.108981644
40	5.006371568
41	4.942324683
42	4.836425981
43	4.771493457
44	4.699625766
45	4.64991904
46	4.577449531
47	4.521218856
48	4.46693661
49	4.366431322
50	4.324165596
51	4.289444057
52	4.255727989
53	4.189958594
54	4.115416547
55	4.061302895
56	4.00958352
57	3.963916035
58	3.916305051
59	3.87378883
60	3.835337489
61	3.799541368
62	3.773612754
63	3.735882059
64	3.699731673
65	3.665500909
66	3.634504886
67	3.564615351
68	3.514512977
69	3.477642428
70	3.448728667
71	3.397078189
72	3.367535745
73	3.350646131
74	3.321117954
75	3.277489186
76	3.240891549
77	3.217091924
78	3.192714111
79	3.164660399
80	3.137523733
81	3.109373362
82	3.092347727
83	3.0560896
84	3.0070865
85	2.984386971
86	2.946319827
87	2.926498574
88	2.905628477
89	2.88304106
90	2.859618854
91	2.845046061
92	2.790156889
93	2.769687964
94	2.750206879
95	2.707997772
96	2.693618461
97	2.657377243
98	2.638388617
99	2.603736399
100	2.583659715
101	2.54595907
102	2.532067175
103	2.519008791
104	2.503911012
105	2.470598252
106	2.445566087
107	2.42895619
108	2.402820191
109	2.379638111
110	2.359028337
111	2.346421986
112	2.330351116
113	2.312950417
114	2.298853823
115	2.285626218
116	2.264388923
117	2.256150909
118	2.244406511
119	2.223070472
120	2.20686079
121	2.195337937
122	2.174690731
123	2.163779907
124	2.158277313
125	2.147579831
126	2.130905326
127	2.12501859
128	2.11096818
129	2.099679413
130	2.083515247
131	2.07916316
132	2.075057068
133	2.057058973
134	2.042150658
135	2.022432455
136	2.014231413
137	1.996978006
138	1.979753275
139	1.967958375
140	1.956387243
141	1.945324668
142	1.938083365
143	1.92579439
144	1.916821979
145	1.904460222
146	1.890786675
147	1.875334721
148	1.862363941
149	1.853973712
150	1.845541306
151	1.837874235
152	1.832165763
153	1.819448722
154	1.812760776
155	1.805359212
156	1.795236314
157	1.786699695
158	1.777005747
159	1.76348848
160	1.75675072
161	1.749077954
162	1.741524117
163	1.733080766
164	1.727571229
165	1.722030354
166	1.718583071
167	1.710278207
168	1.702389162
169	1.694902822
170	1.687021629
171	1.679996022
172	1.670606087
173	1.663999553
174	1.658052734
175	1.646898411
176	1.640783118
177	1.633531417
178	1.624939201
179	1.61910048
180	1.613671031
181	1.608491088
182	1.601042388
183	1.593554766
184	1.589290554
185	1.580599937
186	1.572002535
187	1.563574399
188	1.556685725
189	1.55138386
190	1.545806583
191	1.540273845
192	1.531011032
193	1.52699126
194	1.521299645
195	1.515697374
196	1.510393349
197	1.505573039
198	1.498986133
199	1.490717036
