iter	Passed	Remaining
0	2	287
1	4	214
2	6	197
3	7	186
4	9	183
5	11	181
6	13	179
7	15	172
8	16	166
9	17	161
10	19	157
11	21	156
12	23	156
13	25	153
14	26	150
15	28	147
16	29	144
17	31	142
18	32	140
19	34	137
20	36	135
21	37	133
22	39	131
23	41	130
24	42	128
25	44	126
26	46	124
27	47	122
28	49	120
29	51	119
30	52	117
31	54	115
32	55	113
33	57	111
34	59	111
35	61	109
36	63	107
37	64	105
38	66	104
39	68	102
40	69	100
41	71	98
42	73	96
43	74	95
44	76	93
45	77	91
46	79	89
47	81	87
48	82	86
49	84	84
50	86	82
51	87	80
52	89	79
53	91	77
54	92	75
55	94	74
56	95	72
57	97	70
58	99	68
59	100	67
60	102	65
61	104	63
62	105	62
63	107	60
64	109	58
65	110	57
66	112	55
67	113	53
68	115	51
69	116	50
70	118	48
71	119	46
72	121	44
73	122	43
74	124	41
75	125	39
76	126	37
77	128	36
78	129	34
79	130	32
80	132	30
81	133	29
82	134	27
83	136	25
84	137	24
85	139	22
86	140	21
87	142	19
88	143	17
89	145	16
90	146	14
91	147	12
92	149	11
93	150	9
94	152	8
95	153	6
96	155	4
97	156	3
98	158	1
99	159	0
