Date,Station,Energy Production (kWh),Water_Flow_m3_s,avgtempC,totalprecipMM,humidity,pressureMB
2022-01-02,Amberd 3,156.82181116676475,18456.61339628668,-3,3.6,67,1021
2022-01-02,Amberd 3,156.82181116676475,16196.697247706426,-3,3.6,67,1021
2022-01-02,Amberd 3,156.82181116676475,16593.781175800505,-3,3.6,67,1021
2022-01-03,Amberd 3,-964.1529563212988,16908.23153266268,-2,0.6,59,1021
2022-01-03,Amberd 3,-964.1529563212988,14411.743119266055,-2,0.6,59,1021
2022-01-03,Amberd 3,-964.1529563212988,14783.728394242076,-2,0.6,59,1021
2022-01-04,Amberd 3,1441.5142625586595,20127.639367920496,-2,0.4,56,1020
2022-01-04,Amberd 3,1441.5142625586595,18022.75229357798,-2,0.4,56,1020
2022-01-04,Amberd 3,1441.5142625586595,18147.49134721389,-2,0.4,56,1020
2022-01-05,Amberd 3,218.928049772363,18441.47214838423,-2,0.0,59,1025
2022-01-05,Amberd 3,218.928049772363,16296.51376146789,-2,0.0,59,1025
2022-01-05,Amberd 3,218.928049772363,16646.61514888383,-2,0.0,59,1025
2022-01-06,Amberd 3,-21.9679591285676,18082.435307497453,-1,0.0,59,1030
2022-01-06,Amberd 3,-21.9679591285676,16164.40366972477,-1,0.0,59,1030
2022-01-06,Amberd 3,-21.9679591285676,16418.646339098363,-1,0.0,59,1030
2022-01-07,Amberd 3,-207.24695862361293,17799.29397172169,-2,0.0,65,1029
2022-01-07,Amberd 3,-207.24695862361293,15700.550458715596,-2,0.0,65,1029
2022-01-07,Amberd 3,-207.24695862361293,16064.463038058282,-2,0.0,65,1029
2022-01-08,Amberd 3,-208.90841321778865,17765.793960737527,-1,0.0,70,1028
2022-01-08,Amberd 3,-208.90841321778865,15621.284403669724,-1,0.0,70,1028
2022-01-08,Amberd 3,-208.90841321778865,16025.326761700262,-1,0.0,70,1028
2022-01-09,Amberd 3,-274.16225806697184,17648.26002389478,-1,0.0,68,1027
2022-01-09,Amberd 3,-274.16225806697184,15788.62385321101,-1,0.0,68,1027
2022-01-09,Amberd 3,-274.16225806697184,16130.994707866916,-1,0.0,68,1027
2022-01-10,Amberd 3,-197.6078605687726,17724.72332580214,-1,3.2,62,1024
2022-01-10,Amberd 3,-197.6078605687726,15997.064220183487,-1,3.2,62,1024
2022-01-10,Amberd 3,-197.6078605687726,16402.991828555154,-1,3.2,62,1024
2022-01-11,Amberd 3,4.846763290481249,17973.796853797394,0,0.0,80,1023
2022-01-11,Amberd 3,4.846763290481249,16302.385321100915,0,0.0,80,1023
2022-01-11,Amberd 3,4.846763290481249,16705.31956342086,0,0.0,80,1023
2022-01-12,Amberd 3,-186.5828975626828,17692.73743960822,1,0.1,70,1022
2022-01-12,Amberd 3,-186.5828975626828,16049.908256880732,1,0.1,70,1022
2022-01-12,Amberd 3,-186.5828975626828,16551.70967871563,1,0.1,70,1022
2022-01-13,Amberd 3,296.6156165712073,18326.02013312807,2,12.0,87,1017
2022-01-13,Amberd 3,296.6156165712073,16651.74311926606,2,12.0,87,1017
2022-01-13,Amberd 3,296.6156165712073,16999.82004301496,2,12.0,87,1017
2022-01-14,Amberd 3,-3884.7286202974046,12655.43352806285,-2,1.2,83,1012
2022-01-14,Amberd 3,-3884.7286202974046,10504.22018348624,-2,1.2,83,1012
2022-01-14,Amberd 3,-3884.7286202974046,11083.39346459128,-2,1.2,83,1012
2022-01-15,Amberd 3,1926.9280810815708,20496.518019943866,-6,0.9,60,1013
2022-01-15,Amberd 3,1926.9280810815708,18712.66055045872,-6,0.9,60,1013
2022-01-15,Amberd 3,1926.9280810815708,18859.771576929863,-6,0.9,60,1013
2022-01-16,Amberd 3,35.87736534589931,17923.262938922977,-6,0.1,48,1018
2022-01-16,Amberd 3,35.87736534589931,15718.165137614678,-6,0.1,48,1018
2022-01-16,Amberd 3,35.87736534589931,15983.25526461539,-6,0.1,48,1018
2022-01-17,Amberd 3,1710.9265470826776,20168.331471658323,-7,0.0,39,1025
2022-01-17,Amberd 3,1710.9265470826776,18151.92660550459,-7,0.0,39,1025
2022-01-17,Amberd 3,1710.9265470826776,18294.252383556475,-7,0.0,39,1025
2022-01-18,Amberd 3,433.5805175256537,18417.813948536656,-9,0.0,50,1027
2022-01-18,Amberd 3,433.5805175256537,16243.669724770642,-9,0.0,50,1027
2022-01-18,Amberd 3,433.5805175256537,16574.213037621492,-9,0.0,50,1027
2022-01-19,Amberd 3,110.77483881665466,17953.356169129092,-6,2.8,82,1022
2022-01-19,Amberd 3,110.77483881665466,15574.311926605504,-6,2.8,82,1022
2022-01-19,Amberd 3,110.77483881665466,16010.650658066004,-6,2.8,82,1022
2022-01-20,Amberd 3,-403.0059147259617,17226.57626981163,-5,8.5,77,1019
2022-01-20,Amberd 3,-403.0059147259617,14620.183486238531,-5,8.5,77,1019
2022-01-20,Amberd 3,-403.0059147259617,15148.674171280612,-5,8.5,77,1019
2022-01-21,Amberd 3,430.8735969419067,18317.881712380506,-9,0.0,67,1034
2022-01-21,Amberd 3,430.8735969419067,15756.330275229358,-9,0.0,67,1034
2022-01-21,Amberd 3,430.8735969419067,16153.498066772778,-9,0.0,67,1034
2022-01-22,Amberd 3,576.6805925610661,18475.161424967173,-9,0.0,69,1033
2022-01-22,Amberd 3,576.6805925610661,16220.183486238531,-9,0.0,69,1033
2022-01-22,Amberd 3,576.6805925610661,16614.327720888465,-9,0.0,69,1033
2022-01-23,Amberd 3,-114.5270051257612,17497.415341666652,-7,0.0,70,1028
2022-01-23,Amberd 3,-114.5270051257612,15189.724770642202,-7,0.0,70,1028
2022-01-23,Amberd 3,-114.5270051257612,15726.91265447036,-7,0.0,70,1028
2022-01-24,Amberd 3,-109.95169874620842,17457.66956592273,-5,0.0,61,1027
2022-01-24,Amberd 3,-109.95169874620842,15298.348623853211,-5,0.0,61,1027
2022-01-24,Amberd 3,-109.95169874620842,15783.660255189488,-5,0.0,61,1027
2022-01-25,Amberd 3,38.255588450290816,17610.217638539885,-4,0.7,67,1031
2022-01-25,Amberd 3,38.255588450290816,15442.201834862386,-4,0.7,67,1031
2022-01-25,Amberd 3,38.255588450290816,15981.298450797489,-4,0.7,67,1031
2022-01-26,Amberd 3,-43.20734697397711,17451.04526996541,-4,0.1,75,1025
2022-01-26,Amberd 3,-43.20734697397711,15242.56880733945,-4,0.1,75,1025
2022-01-26,Amberd 3,-43.20734697397711,15881.500946084538,-4,0.1,75,1025
2022-01-27,Amberd 3,26.93338180049249,17496.27974807397,-3,5.1,77,1017
2022-01-27,Amberd 3,26.93338180049249,15433.394495412844,-3,5.1,77,1017
2022-01-27,Amberd 3,26.93338180049249,15935.313326076815,-3,5.1,77,1017
2022-01-28,Amberd 3,24.47866618505759,17443.474646014183,-4,0.0,68,1024
2022-01-28,Amberd 3,24.47866618505759,15233.761467889908,-4,0.0,68,1024
2022-01-28,Amberd 3,24.47866618505759,15686.797971203388,-4,0.0,68,1024
2022-01-29,Amberd 3,44.41256422745391,17421.70910215442,-5,0.0,74,1028
2022-01-29,Amberd 3,44.41256422745391,15119.266055045871,-5,0.0,74,1028
2022-01-29,Amberd 3,44.41256422745391,15568.410735220375,-5,0.0,74,1028
2022-01-30,Amberd 3,-158.77616519094772,17099.768318628634,-5,0.0,72,1029
2022-01-30,Amberd 3,-158.77616519094772,14796.330275229358,-5,0.0,72,1029
2022-01-30,Amberd 3,-158.77616519094772,15296.413614532135,-5,0.0,72,1029
2022-01-31,Amberd 3,146.29347895858157,17467.132845861757,-3,0.0,67,1023
2022-01-31,Amberd 3,146.29347895858157,15239.633027522936,-3,0.0,67,1023
2022-01-31,Amberd 3,146.29347895858157,15696.582040292891,-3,0.0,67,1023
2022-02-01,Amberd 3,76.48173280800802,17330.483083542174,-2,0.0,65,1025
2022-02-01,Amberd 3,76.48173280800802,15292.477064220184,-2,0.0,65,1025
2022-02-01,Amberd 3,76.48173280800802,15694.625226474993,-2,0.0,65,1025
2022-02-02,Amberd 3,-45.34260093505327,17127.02256485304,-1,0.0,62,1028
2022-02-02,Amberd 3,-45.34260093505327,15172.11009174312,-1,0.0,62,1028
2022-02-02,Amberd 3,-45.34260093505327,15624.179929030555,-1,0.0,62,1028
2022-02-03,Amberd 3,-111.25852064597711,17003.432128849316,0,0.0,63,1025
2022-02-03,Amberd 3,-111.25852064597711,15042.935779816513,0,0.0,63,1025
2022-02-03,Amberd 3,-111.25852064597711,15478.39729959693,0,0.0,63,1025
2022-02-04,Amberd 3,-52.65668557456229,17053.20898132861,0,6.2,73,1015
2022-02-04,Amberd 3,-52.65668557456229,15092.844036697252,0,6.2,73,1015
2022-02-04,Amberd 3,-52.65668557456229,15530.252865771308,0,6.2,73,1015
2022-02-05,Amberd 3,-3649.178218395197,12167.31754880771,-3,0.1,75,1014
2022-02-05,Amberd 3,-3649.178218395197,9823.119266055048,-3,0.1,75,1014
2022-02-05,Amberd 3,-3649.178218395197,10424.925614867592,-3,0.1,75,1014
2022-02-06,Amberd 3,449.9286686462055,17691.412580416756,-4,0.0,45,1026
2022-02-06,Amberd 3,449.9286686462055,15042.935779816513,-4,0.0,45,1026
2022-02-06,Amberd 3,449.9286686462055,15366.858911976577,-4,0.0,45,1026
2022-02-07,Amberd 3,2650.1964996902334,20652.283607740286,-3,0.0,50,1029
2022-02-07,Amberd 3,2650.1964996902334,18518.89908256881,-3,0.0,50,1029
2022-02-07,Amberd 3,2650.1964996902334,18668.98222968452,-3,0.0,50,1029
2022-02-08,Amberd 3,388.93659345956985,17583.34192351304,-2,0.0,53,1028
2022-02-08,Amberd 3,388.93659345956985,15233.761467889908,-2,0.0,53,1028
2022-02-08,Amberd 3,388.93659345956985,15711.25814392715,-2,0.0,53,1028
2022-02-09,Amberd 3,170.16389586459445,17277.48871588361,1,0.0,56,1025
2022-02-09,Amberd 3,170.16389586459445,15145.688073394496,1,0.0,56,1025
2022-02-09,Amberd 3,170.16389586459445,15610.482232305249,1,0.0,56,1025
2022-02-10,Amberd 3,174.5102674447735,17275.5960598958,2,9.4,64,1024
2022-02-10,Amberd 3,174.5102674447735,15095.77981651376,2,9.4,64,1024
2022-02-10,Amberd 3,174.5102674447735,15548.842597041368,2,9.4,64,1024
2022-02-11,Amberd 3,69.44121630465088,17128.725955242066,2,3.0,86,1025
2022-02-11,Amberd 3,69.44121630465088,15315.963302752294,2,3.0,86,1025
2022-02-11,Amberd 3,69.44121630465088,15731.80468901511,2,3.0,86,1025
2022-02-12,Amberd 3,-22.266818368372697,17003.621394448095,1,0.0,63,1030
2022-02-12,Amberd 3,-22.266818368372697,14849.174311926605,1,0.0,63,1030
2022-02-12,Amberd 3,-22.266818368372697,15314.024938893248,1,0.0,63,1030
2022-02-13,Amberd 3,99.11920185289456,17171.12144936892,0,0.0,57,1029
2022-02-13,Amberd 3,99.11920185289456,14778.715596330276,0,0.0,57,1029
2022-02-13,Amberd 3,99.11920185289456,15259.23415199202,0,0.0,57,1029
2022-02-14,Amberd 3,-299.3337678428634,16641.17777278327,1,0.0,57,1026
2022-02-14,Amberd 3,-299.3337678428634,14391.19266055046,1,0.0,57,1026
2022-02-14,Amberd 3,-299.3337678428634,14886.46111968188,1,0.0,57,1026
2022-02-15,Amberd 3,-394.6607217681212,16527.239882317353,1,0.2,61,1026
2022-02-15,Amberd 3,-394.6607217681212,14264.954128440368,1,0.2,61,1026
2022-02-15,Amberd 3,-394.6607217681212,14785.685208059977,1,0.2,61,1026
2022-02-16,Amberd 3,-477.82957063044887,16436.58166050145,1,0.0,57,1027
2022-02-16,Amberd 3,-477.82957063044887,14171.009174311926,1,0.0,57,1027
2022-02-16,Amberd 3,-477.82957063044887,14703.499027708134,1,0.0,57,1027
2022-02-17,Amberd 3,-625.2215621863197,16266.242621598922,0,0.0,56,1024
2022-02-17,Amberd 3,-625.2215621863197,14027.155963302752,0,0.0,56,1024
2022-02-17,Amberd 3,-625.2215621863197,14587.068605543023,0,0.0,56,1024
2022-02-18,Amberd 3,-632.0793007105585,16292.929071026983,0,0.0,55,1020
2022-02-18,Amberd 3,-632.0793007105585,14100.550458715596,0,0.0,55,1020
2022-02-18,Amberd 3,-632.0793007105585,14666.319565168014,0,0.0,55,1020
2022-02-19,Amberd 3,-548.6146270016197,16448.126862027068,1,0.0,52,1023
2022-02-19,Amberd 3,-548.6146270016197,14344.22018348624,1,0.0,52,1023
2022-02-19,Amberd 3,-548.6146270016197,14952.01438258156,1,0.0,52,1023
2022-02-20,Amberd 3,-661.5243322950228,16343.08445470384,2,0.0,51,1024
2022-02-20,Amberd 3,-661.5243322950228,14129.908256880732,2,0.0,51,1024
2022-02-20,Amberd 3,-661.5243322950228,14545.975515367105,2,0.0,51,1024
2022-02-21,Amberd 3,-676.5823236844099,16373.934747305078,3,0.0,48,1019
2022-02-21,Amberd 3,-676.5823236844099,14188.62385321101,3,0.0,48,1019
2022-02-21,Amberd 3,-676.5823236844099,14641.859392444252,3,0.0,48,1019
2022-02-22,Amberd 3,-563.7490555557415,16579.098656383238,4,0.0,51,1017
2022-02-22,Amberd 3,-563.7490555557415,14411.743119266055,4,0.0,51,1017
2022-02-22,Amberd 3,-563.7490555557415,14827.756705144848,4,0.0,51,1017
2022-02-23,Amberd 3,-282.3421183426781,17010.813487201758,5,0.3,58,1020
2022-02-23,Amberd 3,-282.3421183426781,14793.394495412844,5,0.3,58,1020
2022-02-23,Amberd 3,-282.3421183426781,15213.249027271346,5,0.3,58,1020
2022-02-24,Amberd 3,109.97324068084164,17587.884297883775,6,0.0,54,1023
2022-02-24,Amberd 3,109.97324068084164,14579.082568807342,6,0.0,54,1023
2022-02-24,Amberd 3,109.97324068084164,15035.178969842354,6,0.0,54,1023
2022-02-25,Amberd 3,357.3282380648416,17960.926793080314,6,3.0,58,1019
2022-02-25,Amberd 3,357.3282380648416,14684.770642201836,6,3.0,58,1019
2022-02-25,Amberd 3,357.3282380648416,15157.479833461166,6,3.0,58,1019
2022-02-26,Amberd 3,152.40535708392963,17711.096202689936,7,11.7,59,1012
2022-02-26,Amberd 3,152.40535708392963,14637.798165137614,7,11.7,59,1012
2022-02-26,Amberd 3,152.40535708392963,15123.2355916479,7,11.7,59,1012
2022-02-27,Amberd 3,535.1637508639124,18241.229144874367,6,0.6,50,1020
2022-02-27,Amberd 3,535.1637508639124,15086.97247706422,6,0.6,50,1020
2022-02-27,Amberd 3,535.1637508639124,15289.564766169484,6,0.6,50,1020
2022-02-28,Amberd 3,592.0473191824221,18313.33933800977,6,0.0,50,1022
2022-02-28,Amberd 3,592.0473191824221,14948.990825688074,6,0.0,50,1022
2022-02-28,Amberd 3,592.0473191824221,15197.594516728135,6,0.0,50,1022
2022-03-01,Amberd 3,264.9854844728088,17846.42110581806,6,5.4,51,1020
2022-03-01,Amberd 3,264.9854844728088,14840.366972477064,6,5.4,51,1020
2022-03-01,Amberd 3,264.9854844728088,15118.343557103146,6,5.4,51,1020
2022-03-02,Amberd 3,832.3976395939226,18566.76597477698,8,5.7,53,1015
2022-03-02,Amberd 3,832.3976395939226,15145.688073394496,8,5.7,53,1015
2022-03-02,Amberd 3,832.3976395939226,15525.360831226555,8,5.7,53,1015
2022-03-03,Amberd 3,3735.7775614768216,22421.349159542453,9,6.9,57,1006
2022-03-03,Amberd 3,3735.7775614768216,15985.321100917432,9,6.9,57,1006
2022-03-03,Amberd 3,3735.7775614768216,16188.720715494996,9,6.9,57,1006
2022-03-04,Amberd 3,-1955.0012214721933,14632.69123852366,5,12.6,58,1004
2022-03-04,Amberd 3,-1955.0012214721933,8965.871559633028,5,12.6,58,1004
2022-03-04,Amberd 3,-1955.0012214721933,9848.643945495747,5,12.6,58,1004
2022-03-05,Amberd 3,-4575.980041822719,10971.34823011317,3,0.0,39,1015
2022-03-05,Amberd 3,-4575.980041822719,6317.798165137615,3,0.0,39,1015
2022-03-05,Amberd 3,-4575.980041822719,6325.400666364992,3,0.0,39,1015
2022-03-06,Amberd 3,4751.601643619051,23440.92294017348,3,0.2,41,1016
2022-03-06,Amberd 3,4751.601643619051,20582.75229357798,3,0.2,41,1016
2022-03-06,Amberd 3,4751.601643619051,20778.4275253818,3,0.2,41,1016
2022-03-07,Amberd 3,4115.804365573069,22415.29266038147,3,0.0,40,1012
2022-03-07,Amberd 3,4115.804365573069,20101.284403669728,3,0.0,40,1012
2022-03-07,Amberd 3,4115.804365573069,20187.46975237569,3,0.0,40,1012
2022-03-08,Amberd 3,2075.3789037320257,19465.588303385997,4,1.2,42,1010
2022-03-08,Amberd 3,2075.3789037320257,17004.036697247706,4,1.2,42,1010
2022-03-08,Amberd 3,2075.3789037320257,17341.284054238688,4,1.2,42,1010
2022-03-09,Amberd 3,1491.1636600601196,18463.426957842777,4,16.1,73,1007
2022-03-09,Amberd 3,1491.1636600601196,16117.43119266055,4,16.1,73,1007
2022-03-09,Amberd 3,1491.1636600601196,16527.24950599187,4,16.1,73,1007
2022-03-10,Amberd 3,1571.4999247067317,18344.378896209782,6,6.8,59,1002
2022-03-10,Amberd 3,1571.4999247067317,14907.88990825688,6,6.8,59,1002
2022-03-10,Amberd 3,1571.4999247067317,15612.43904612315,6,6.8,59,1002
2022-03-11,Amberd 3,2818.517010533702,19794.34264846788,5,6.3,56,1001
2022-03-11,Amberd 3,2818.517010533702,15486.238532110092,5,6.3,56,1001
2022-03-11,Amberd 3,2818.517010533702,17625.022057834332,5,6.3,56,1001
2022-03-12,Amberd 3,2241.7620429499257,18778.93271101002,2,5.9,43,1012
2022-03-12,Amberd 3,2241.7620429499257,14599.633027522934,2,5.9,43,1012
2022-03-12,Amberd 3,2241.7620429499257,16831.534054675474,2,5.9,43,1012
2022-03-13,Amberd 3,2282.0005742327285,18608.59367210749,1,4.0,47,1017
2022-03-13,Amberd 3,2282.0005742327285,14226.788990825688,1,4.0,47,1017
2022-03-13,Amberd 3,2282.0005742327285,16463.653056910087,1,4.0,47,1017
2022-03-14,Amberd 3,2274.37705538258,18397.18399826957,1,3.9,49,1021
2022-03-14,Amberd 3,2274.37705538258,14027.155963302752,1,3.9,49,1021
2022-03-14,Amberd 3,2274.37705538258,16231.770619488818,1,3.9,49,1021
2022-03-15,Amberd 3,2389.389687041057,18389.80263991713,1,2.7,49,1021
2022-03-15,Amberd 3,2389.389687041057,14112.29357798165,1,2.7,49,1021
2022-03-15,Amberd 3,2389.389687041057,16318.848834385411,1,2.7,49,1021
2022-03-16,Amberd 3,2066.8551841901262,17845.664043422938,-1,0.0,40,1019
2022-03-16,Amberd 3,2066.8551841901262,13692.477064220184,-1,0.0,40,1019
2022-03-16,Amberd 3,2066.8551841901262,15862.911214814478,-1,0.0,40,1019
2022-03-17,Amberd 3,2707.336893257363,18676.729287668502,-1,0.0,36,1023
2022-03-17,Amberd 3,2707.336893257363,14755.229357798164,-1,0.0,36,1023
2022-03-17,Amberd 3,2707.336893257363,16912.741828118367,-1,0.0,36,1023
2022-03-18,Amberd 3,2099.6463761802133,17913.98892458273,2,2.3,40,1023
2022-03-18,Amberd 3,2099.6463761802133,13701.284403669724,2,2.3,40,1023
2022-03-18,Amberd 3,2099.6463761802133,15927.486070805213,2,2.3,40,1023
2022-03-19,Amberd 3,2155.443109337846,18164.38731176945,2,3.7,57,1019
2022-03-19,Amberd 3,2155.443109337846,13874.495412844037,2,3.7,57,1019
2022-03-19,Amberd 3,2155.443109337846,16146.649218410124,2,3.7,57,1019
2022-03-20,Amberd 3,1906.6742901243144,18143.56809590358,1,6.6,77,1017
2022-03-20,Amberd 3,1906.6742901243144,13865.688073394496,1,6.6,77,1017
2022-03-20,Amberd 3,1906.6742901243144,16188.720715494996,1,6.6,77,1017
2022-03-21,Amberd 3,1599.979963990343,18211.13591466825,0,5.6,71,1022
2022-03-21,Amberd 3,1599.979963990343,13598.532110091744,0,5.6,71,1022
2022-03-21,Amberd 3,1599.979963990343,15935.313326076815,0,5.6,71,1022
2022-03-22,Amberd 3,1167.3485049553292,18302.92973007684,1,0.3,72,1023
2022-03-22,Amberd 3,1167.3485049553292,13974.311926605504,1,0.3,72,1023
2022-03-22,Amberd 3,1167.3485049553292,16229.813805670916,1,0.3,72,1023
2022-03-23,Amberd 3,876.6082995611796,18810.161534808816,2,1.1,62,1025
2022-03-23,Amberd 3,876.6082995611796,14549.724770642202,2,1.1,62,1025
2022-03-23,Amberd 3,876.6082995611796,16789.462557590603,2,1.1,62,1025
2022-03-24,Amberd 3,-256.3218584657934,18432.57666524154,2,4.4,74,1014
2022-03-24,Amberd 3,-256.3218584657934,14285.504587155963,2,4.4,74,1014
2022-03-24,Amberd 3,-256.3218584657934,16582.040292893096,2,4.4,74,1014
2022-03-25,Amberd 3,-1435.9710555865058,18276.43254624756,2,0.9,57,1015
2022-03-25,Amberd 3,-1435.9710555865058,14053.577981651377,2,0.9,57,1015
2022-03-25,Amberd 3,-1435.9710555865058,16332.546531110718,2,0.9,57,1015
2022-03-26,Amberd 3,-2552.0081771003315,18521.53149666842,3,0.0,48,1022
2022-03-26,Amberd 3,-2552.0081771003315,14150.45871559633,3,0.0,48,1022
2022-03-26,Amberd 3,-2552.0081771003315,16416.68952528046,3,0.0,48,1022
2022-03-27,Amberd 3,-4267.544626396903,18300.847808490253,3,0.2,41,1025
2022-03-27,Amberd 3,-4267.544626396903,14085.871559633028,3,0.2,41,1025
2022-03-27,Amberd 3,-4267.544626396903,16340.373786382324,3,0.2,41,1025
2022-03-28,Amberd 3,-10073.216801755154,12922.67655354104,4,0.1,42,1026
2022-03-28,Amberd 3,-10073.216801755154,7920.733944954129,4,0.1,42,1026
2022-03-28,Amberd 3,-10073.216801755154,10233.157860713294,4,0.1,42,1026
2022-03-29,Amberd 3,-5602.653886062533,21832.54388173604,5,0.0,38,1029
2022-03-29,Amberd 3,-5602.653886062533,17095.045871559632,5,0.0,38,1029
2022-03-29,Amberd 3,-5602.653886062533,18940.000943463805,5,0.0,38,1029
2022-03-30,Amberd 3,-6202.669301705388,24298.29610264955,7,0.1,41,1021
2022-03-30,Amberd 3,-6202.669301705388,17764.403669724772,7,0.1,41,1021
2022-03-30,Amberd 3,-6202.669301705388,19662.06524226928,7,0.1,41,1021
2022-03-31,Amberd 3,-6389.334812391273,27744.06559404895,9,0.4,45,1020
2022-03-31,Amberd 3,-6389.334812391273,17570.642201834864,9,0.4,45,1020
2022-03-31,Amberd 3,-6389.334812391273,19632.71303500076,9,0.4,45,1020
2022-04-01,Amberd 3,-7443.8455135141885,30442.993032660142,10,0.0,41,1023
2022-04-01,Amberd 3,-7443.8455135141885,17746.788990825688,10,0.0,41,1023
2022-04-01,Amberd 3,-7443.8455135141885,19736.424167349516,10,0.0,41,1023
2022-04-02,Amberd 3,-8874.503166210408,33059.589935801785,12,0.0,33,1018
2022-04-02,Amberd 3,-8874.503166210408,19790.09174311927,12,0.0,33,1018
2022-04-02,Amberd 3,-8874.503166210408,21650.18808125669,12,0.0,33,1018
2022-04-03,Amberd 3,-1278.5771281702473,48298.87741841724,15,0.0,30,1013
2022-04-03,Amberd 3,-1278.5771281702473,24927.706422018357,15,0.0,30,1013
2022-04-03,Amberd 3,-1278.5771281702473,26239.894891143496,15,0.0,30,1013
2022-04-04,Amberd 3,2729.9298073948376,59094.01937606568,15,0.0,34,1012
2022-04-04,Amberd 3,2729.9298073948376,26454.311926605504,15,0.0,34,1012
2022-04-04,Amberd 3,2729.9298073948376,27690.87233711709,15,0.0,34,1012
2022-04-05,Amberd 3,-4173.266042021452,55528.25549503938,13,0.0,38,1013
2022-04-05,Amberd 3,-4173.266042021452,25153.761467889908,13,0.0,38,1013
2022-04-05,Amberd 3,-4173.266042021452,26623.43039945209,13,0.0,38,1013
2022-04-06,Amberd 3,-10929.354565055066,52539.183893497546,14,0.6,47,1013
2022-04-06,Amberd 3,-10929.354565055066,22000.73394495413,14,0.6,47,1013
2022-04-06,Amberd 3,-10929.354565055066,23788.007177313542,14,0.6,47,1013
2022-04-07,Amberd 3,-5560.897359065682,66302.76750242074,11,16.4,53,1012
2022-04-07,Amberd 3,-5560.897359065682,20876.33027522936,11,16.4,53,1012
2022-04-07,Amberd 3,-5560.897359065682,22691.213032380027,11,16.4,53,1012
2022-04-08,Amberd 3,-10666.285174809804,66242.7703076073,10,4.4,67,1008
2022-04-08,Amberd 3,-10666.285174809804,20274.49541284404,10,4.4,67,1008
2022-04-08,Amberd 3,-10666.285174809804,22139.391535731946,10,4.4,67,1008
2022-04-09,Amberd 3,-8109.67320219455,76846.75401048735,12,8.1,60,1009
2022-04-09,Amberd 3,-8109.67320219455,22479.26605504587,12,8.1,60,1009
2022-04-09,Amberd 3,-8109.67320219455,24330.04460487212,12,8.1,60,1009
2022-04-10,Amberd 3,-6592.710202892755,86311.73733990581,12,0.0,46,1012
2022-04-10,Amberd 3,-6592.710202892755,27517.06422018349,12,0.0,46,1012
2022-04-10,Amberd 3,-6592.710202892755,28629.16456280062,12,0.0,46,1012
2022-04-11,Amberd 3,-6005.5563928258925,94740.11298480298,14,0.2,37,1009
2022-04-11,Amberd 3,-6005.5563928258925,33597.064220183485,14,0.2,37,1009
2022-04-11,Amberd 3,-6005.5563928258925,34873.35745572272,14,0.2,37,1009
2022-04-12,Amberd 3,32291.64845596136,154317.3274345555,14,0.9,32,1002
2022-04-12,Amberd 3,32291.64845596136,36870.45871559633,14,0.9,32,1002
2022-04-12,Amberd 3,32291.64845596136,36885.9404674339,14,0.9,32,1002
2022-04-13,Amberd 3,36969.438044169874,168556.53549321432,8,13.5,47,1006
2022-04-13,Amberd 3,36969.438044169874,33379.81651376147,8,13.5,47,1006
2022-04-13,Amberd 3,36969.438044169874,34153.24997073515,8,13.5,47,1006
2022-04-14,Amberd 3,9870.02379221558,139918.75774172344,6,0.2,39,1018
2022-04-14,Amberd 3,9870.02379221558,26463.119266055044,6,0.2,39,1018
2022-04-14,Amberd 3,9870.02379221558,28355.21062829448,6,0.2,39,1018
2022-04-15,Amberd 3,-42562.308778263214,77117.78234794115,9,0.0,34,1018
2022-04-15,Amberd 3,-42562.308778263214,27784.22018348624,9,0.0,34,1018
2022-04-15,Amberd 3,-42562.308778263214,28757.33586787313,9,0.0,34,1018
2022-04-16,Amberd 3,-53484.34291049835,70528.87905759251,11,0.4,44,1015
2022-04-16,Amberd 3,-53484.34291049835,36620.91743119266,11,0.4,44,1015
2022-04-16,Amberd 3,-53484.34291049835,38322.24180977324,11,0.4,44,1015
2022-04-17,Amberd 3,-37477.000404735285,100414.29563624503,12,0.0,41,1017
2022-04-17,Amberd 3,-37477.000404735285,50122.56880733945,12,0.0,41,1017
2022-04-17,Amberd 3,-37477.000404735285,51629.554178409,12,0.0,41,1017
2022-04-18,Amberd 3,-20917.635346900453,131043.52601810529,15,0.0,30,1015
2022-04-18,Amberd 3,-20917.635346900453,57394.49541284404,15,0.0,30,1015
2022-04-18,Amberd 3,-20917.635346900453,58012.68085240208,15,0.0,30,1015
2022-04-19,Amberd 3,-833.2586976672901,166333.04323873998,18,0.0,26,1010
2022-04-19,Amberd 3,-833.2586976672901,64792.66055045871,18,0.0,26,1010
2022-04-19,Amberd 3,-833.2586976672901,63143.446682938506,18,0.0,26,1010
