Date,Station,Energy Production (kWh),Water_Flow_m3_s
2022-01-02,Amberd 3,-15.48994149468308,18456.613396286677
2022-01-02,Amberd 3,-15.48994149468308,16196.697247706426
2022-01-02,Amberd 3,-15.48994149468308,16593.781175800505
2022-01-03,Amberd 3,-952.8237931359145,16908.23153266268
2022-01-03,Amberd 3,-952.8237931359145,14411.743119266055
2022-01-03,Amberd 3,-952.8237931359145,14783.728394242076
2022-01-04,Amberd 3,1455.962244989938,20127.639367920496
2022-01-04,Amberd 3,1455.962244989938,18022.75229357798
2022-01-04,Amberd 3,1455.962244989938,18147.491347213894
2022-01-05,Amberd 3,321.22922166215176,18441.47214838423
2022-01-05,Amberd 3,321.22922166215176,16296.51376146789
2022-01-05,Amberd 3,321.22922166215176,16646.61514888383
2022-01-06,Amberd 3,81.40747699390886,18082.435307497453
2022-01-06,Amberd 3,81.40747699390886,16164.40366972477
2022-01-06,Amberd 3,81.40747699390886,16418.646339098363
2022-01-07,Amberd 3,-174.8797441937313,17799.29397172169
2022-01-07,Amberd 3,-174.8797441937313,15700.550458715596
2022-01-07,Amberd 3,-174.8797441937313,16064.463038058282
2022-01-08,Amberd 3,-403.93896800770744,17765.793960737527
2022-01-08,Amberd 3,-403.93896800770744,15621.284403669724
2022-01-08,Amberd 3,-403.93896800770744,16025.326761700262
2022-01-09,Amberd 3,-152.40480823064536,17648.26002389478
2022-01-09,Amberd 3,-152.40480823064536,15788.62385321101
2022-01-09,Amberd 3,-152.40480823064536,16130.994707866916
2022-01-10,Amberd 3,30.224046193894537,17724.72332580214
2022-01-10,Amberd 3,30.224046193894537,15997.064220183487
2022-01-10,Amberd 3,30.224046193894537,16402.991828555154
2022-01-11,Amberd 3,54.47988461994464,17973.796853797394
2022-01-11,Amberd 3,54.47988461994464,16302.385321100915
2022-01-11,Amberd 3,54.47988461994464,16705.31956342086
2022-01-12,Amberd 3,-313.87013575390665,17692.73743960822
2022-01-12,Amberd 3,-313.87013575390665,16049.908256880732
2022-01-12,Amberd 3,-313.87013575390665,16551.70967871563
2022-01-13,Amberd 3,-28.633260523551144,18326.02013312807
2022-01-13,Amberd 3,-28.633260523551144,16651.74311926606
2022-01-13,Amberd 3,-28.633260523551144,16999.82004301496
2022-01-14,Amberd 3,-4472.344803563759,12655.43352806285
2022-01-14,Amberd 3,-4472.344803563759,10504.22018348624
2022-01-14,Amberd 3,-4472.344803563759,11083.39346459128
2022-01-15,Amberd 3,907.5196057761276,20496.518019943866
2022-01-15,Amberd 3,907.5196057761276,18712.660550458717
2022-01-15,Amberd 3,907.5196057761276,18859.771576929863
2022-01-16,Amberd 3,-770.5606115546252,17923.262938922977
2022-01-16,Amberd 3,-770.5606115546252,15718.165137614678
2022-01-16,Amberd 3,-770.5606115546252,15983.25526461539
2022-01-17,Amberd 3,1093.362003917715,20168.331471658323
2022-01-17,Amberd 3,1093.362003917715,18151.92660550459
2022-01-17,Amberd 3,1093.362003917715,18294.252383556475
2022-01-18,Amberd 3,-60.905989150522146,18417.813948536656
2022-01-18,Amberd 3,-60.905989150522146,16243.669724770642
2022-01-18,Amberd 3,-60.905989150522146,16574.213037621492
2022-01-19,Amberd 3,-199.8977975955022,17953.356169129092
2022-01-19,Amberd 3,-199.8977975955022,15574.311926605504
2022-01-19,Amberd 3,-199.8977975955022,16010.650658066004
2022-01-20,Amberd 3,-602.312653906878,17226.57626981163
2022-01-20,Amberd 3,-602.312653906878,14620.183486238531
2022-01-20,Amberd 3,-602.312653906878,15148.674171280612
2022-01-21,Amberd 3,269.4500344291846,18317.881712380506
2022-01-21,Amberd 3,269.4500344291846,15756.330275229358
2022-01-21,Amberd 3,269.4500344291846,16153.498066772778
2022-01-22,Amberd 3,162.9286088986155,18475.161424967173
2022-01-22,Amberd 3,162.9286088986155,16220.183486238531
2022-01-22,Amberd 3,162.9286088986155,16614.327720888465
2022-01-23,Amberd 3,-234.16859543667303,17497.415341666652
2022-01-23,Amberd 3,-234.16859543667303,15189.724770642202
2022-01-23,Amberd 3,-234.16859543667303,15726.91265447036
2022-01-24,Amberd 3,-76.74128931612722,17457.66956592273
2022-01-24,Amberd 3,-76.74128931612722,15298.348623853211
2022-01-24,Amberd 3,-76.74128931612722,15783.660255189488
2022-01-25,Amberd 3,60.00513629111083,17610.217638539885
2022-01-25,Amberd 3,60.00513629111083,15442.201834862386
2022-01-25,Amberd 3,60.00513629111083,15981.298450797489
2022-01-26,Amberd 3,44.69577358538845,17451.04526996541
2022-01-26,Amberd 3,44.69577358538845,15242.56880733945
2022-01-26,Amberd 3,44.69577358538845,15881.500946084538
2022-01-27,Amberd 3,122.63415354096104,17496.27974807397
2022-01-27,Amberd 3,122.63415354096104,15433.394495412844
2022-01-27,Amberd 3,122.63415354096104,15935.313326076815
2022-01-28,Amberd 3,29.53736594954717,17443.474646014183
2022-01-28,Amberd 3,29.53736594954717,15233.761467889908
2022-01-28,Amberd 3,29.53736594954717,15686.797971203388
2022-01-29,Amberd 3,-277.36075200835694,17421.70910215442
2022-01-29,Amberd 3,-277.36075200835694,15119.266055045871
2022-01-29,Amberd 3,-277.36075200835694,15568.410735220375
2022-01-30,Amberd 3,-202.72206448113684,17099.768318628634
2022-01-30,Amberd 3,-202.72206448113684,14796.330275229358
2022-01-30,Amberd 3,-202.72206448113684,15296.413614532135
2022-01-31,Amberd 3,244.68879916220976,17467.132845861757
2022-01-31,Amberd 3,244.68879916220976,15239.633027522936
2022-01-31,Amberd 3,244.68879916220976,15696.582040292891
2022-02-01,Amberd 3,119.9482163419325,17330.483083542174
2022-02-01,Amberd 3,119.9482163419325,15292.477064220184
2022-02-01,Amberd 3,119.9482163419325,15694.625226474993
2022-02-02,Amberd 3,-0.1936186800958239,17127.02256485304
2022-02-02,Amberd 3,-0.1936186800958239,15172.11009174312
2022-02-02,Amberd 3,-0.1936186800958239,15624.179929030555
2022-02-03,Amberd 3,-131.25837463079552,17003.432128849316
2022-02-03,Amberd 3,-131.25837463079552,15042.935779816513
2022-02-03,Amberd 3,-131.25837463079552,15478.39729959693
2022-02-04,Amberd 3,-275.1167507502778,17053.20898132861
2022-02-04,Amberd 3,-275.1167507502778,15092.844036697252
2022-02-04,Amberd 3,-275.1167507502778,15530.252865771308
2022-02-05,Amberd 3,-4282.27100884072,12167.31754880771
2022-02-05,Amberd 3,-4282.27100884072,9823.119266055048
2022-02-05,Amberd 3,-4282.27100884072,10424.925614867592
2022-02-06,Amberd 3,53.19667639527324,17691.412580416756
2022-02-06,Amberd 3,53.19667639527324,15042.935779816513
2022-02-06,Amberd 3,53.19667639527324,15366.858911976577
2022-02-07,Amberd 3,2347.167158206361,20652.283607740286
2022-02-07,Amberd 3,2347.167158206361,18518.89908256881
2022-02-07,Amberd 3,2347.167158206361,18668.982229684516
2022-02-08,Amberd 3,12.227017635905211,17583.34192351304
2022-02-08,Amberd 3,12.227017635905211,15233.761467889908
2022-02-08,Amberd 3,12.227017635905211,15711.25814392715
2022-02-09,Amberd 3,-96.42261627004336,17277.48871588361
2022-02-09,Amberd 3,-96.42261627004336,15145.688073394496
2022-02-09,Amberd 3,-96.42261627004336,15610.482232305249
2022-02-10,Amberd 3,44.39817100212895,17275.5960598958
2022-02-10,Amberd 3,44.39817100212895,15095.77981651376
2022-02-10,Amberd 3,44.39817100212895,15548.842597041368
2022-02-11,Amberd 3,-14.491544939875894,17128.725955242066
2022-02-11,Amberd 3,-14.491544939875894,15315.963302752294
2022-02-11,Amberd 3,-14.491544939875894,15731.80468901511
2022-02-12,Amberd 3,-321.0500067624598,17003.621394448095
2022-02-12,Amberd 3,-321.0500067624598,14849.174311926605
2022-02-12,Amberd 3,-321.0500067624598,15314.024938893248
2022-02-13,Amberd 3,183.2969777883536,17171.12144936892
