Date,Station,Energy Production (kWh),Water_Flow_m3_s,avgtempC,totalprecipMM,humidity,pressureMB
2022-01-02,Amberd 3,-15.48994149468308,18456.61339628668,-3,3.6,67,1021
2022-01-02,Amberd 3,-15.48994149468308,16196.697247706426,-3,3.6,67,1021
2022-01-02,Amberd 3,-15.48994149468308,16593.781175800505,-3,3.6,67,1021
2022-01-03,Amberd 3,-952.8237931359145,16908.23153266268,-2,0.6,59,1021
2022-01-03,Amberd 3,-952.8237931359145,14411.743119266055,-2,0.6,59,1021
2022-01-03,Amberd 3,-952.8237931359145,14783.728394242076,-2,0.6,59,1021
2022-01-04,Amberd 3,1455.962244989938,20127.639367920496,-2,0.4,56,1020
2022-01-04,Amberd 3,1455.962244989938,18022.75229357798,-2,0.4,56,1020
2022-01-04,Amberd 3,1455.962244989938,18147.49134721389,-2,0.4,56,1020
2022-01-05,Amberd 3,321.22922166215176,18441.47214838423,-2,0.0,59,1025
2022-01-05,Amberd 3,321.22922166215176,16296.51376146789,-2,0.0,59,1025
2022-01-05,Amberd 3,321.22922166215176,16646.61514888383,-2,0.0,59,1025
2022-01-06,Amberd 3,81.40747699390886,18082.435307497453,-1,0.0,59,1030
2022-01-06,Amberd 3,81.40747699390886,16164.40366972477,-1,0.0,59,1030
2022-01-06,Amberd 3,81.40747699390886,16418.646339098363,-1,0.0,59,1030
2022-01-07,Amberd 3,-174.8797441937313,17799.29397172169,-2,0.0,65,1029
2022-01-07,Amberd 3,-174.8797441937313,15700.550458715596,-2,0.0,65,1029
2022-01-07,Amberd 3,-174.8797441937313,16064.463038058282,-2,0.0,65,1029
2022-01-08,Amberd 3,-403.9389680077074,17765.793960737527,-1,0.0,70,1028
2022-01-08,Amberd 3,-403.9389680077074,15621.284403669724,-1,0.0,70,1028
2022-01-08,Amberd 3,-403.9389680077074,16025.326761700262,-1,0.0,70,1028
2022-01-09,Amberd 3,-152.40480823064536,17648.26002389478,-1,0.0,68,1027
2022-01-09,Amberd 3,-152.40480823064536,15788.62385321101,-1,0.0,68,1027
2022-01-09,Amberd 3,-152.40480823064536,16130.994707866916,-1,0.0,68,1027
2022-01-10,Amberd 3,30.224046193894537,17724.72332580214,-1,3.2,62,1024
2022-01-10,Amberd 3,30.224046193894537,15997.064220183487,-1,3.2,62,1024
2022-01-10,Amberd 3,30.224046193894537,16402.991828555154,-1,3.2,62,1024
2022-01-11,Amberd 3,54.47988461994464,17973.796853797394,0,0.0,80,1023
2022-01-11,Amberd 3,54.47988461994464,16302.385321100915,0,0.0,80,1023
2022-01-11,Amberd 3,54.47988461994464,16705.31956342086,0,0.0,80,1023
2022-01-12,Amberd 3,-313.87013575390665,17692.73743960822,1,0.1,70,1022
2022-01-12,Amberd 3,-313.87013575390665,16049.908256880732,1,0.1,70,1022
2022-01-12,Amberd 3,-313.87013575390665,16551.70967871563,1,0.1,70,1022
2022-01-13,Amberd 3,-28.633260523551144,18326.02013312807,2,12.0,87,1017
2022-01-13,Amberd 3,-28.633260523551144,16651.74311926606,2,12.0,87,1017
2022-01-13,Amberd 3,-28.633260523551144,16999.82004301496,2,12.0,87,1017
2022-01-14,Amberd 3,-4472.344803563759,12655.43352806285,-2,1.2,83,1012
2022-01-14,Amberd 3,-4472.344803563759,10504.22018348624,-2,1.2,83,1012
2022-01-14,Amberd 3,-4472.344803563759,11083.39346459128,-2,1.2,83,1012
2022-01-15,Amberd 3,907.5196057761276,20496.518019943866,-6,0.9,60,1013
2022-01-15,Amberd 3,907.5196057761276,18712.66055045872,-6,0.9,60,1013
2022-01-15,Amberd 3,907.5196057761276,18859.771576929863,-6,0.9,60,1013
2022-01-16,Amberd 3,-770.5606115546252,17923.262938922977,-6,0.1,48,1018
2022-01-16,Amberd 3,-770.5606115546252,15718.165137614678,-6,0.1,48,1018
2022-01-16,Amberd 3,-770.5606115546252,15983.25526461539,-6,0.1,48,1018
2022-01-17,Amberd 3,1093.362003917715,20168.331471658323,-7,0.0,39,1025
2022-01-17,Amberd 3,1093.362003917715,18151.92660550459,-7,0.0,39,1025
2022-01-17,Amberd 3,1093.362003917715,18294.252383556475,-7,0.0,39,1025
2022-01-18,Amberd 3,-60.90598915052215,18417.813948536656,-9,0.0,50,1027
2022-01-18,Amberd 3,-60.90598915052215,16243.669724770642,-9,0.0,50,1027
2022-01-18,Amberd 3,-60.90598915052215,16574.213037621492,-9,0.0,50,1027
2022-01-19,Amberd 3,-199.8977975955022,17953.356169129092,-6,2.8,82,1022
2022-01-19,Amberd 3,-199.8977975955022,15574.311926605504,-6,2.8,82,1022
2022-01-19,Amberd 3,-199.8977975955022,16010.650658066004,-6,2.8,82,1022
2022-01-20,Amberd 3,-602.312653906878,17226.57626981163,-5,8.5,77,1019
2022-01-20,Amberd 3,-602.312653906878,14620.183486238531,-5,8.5,77,1019
2022-01-20,Amberd 3,-602.312653906878,15148.674171280612,-5,8.5,77,1019
2022-01-21,Amberd 3,269.4500344291846,18317.881712380506,-9,0.0,67,1034
